uid1,uid2,总同桌局数
90473758,149955590,778
123483915,131067716,777
120046662,124627111,776
31160697,118118853,774
72216248,133217305,773
76821344,81846921,773
49285724,65060864,772
72216248,148024617,769
144554498,146517701,769
114463776,142020180,767
90473758,150389642,767
118719977,150014770,766
122080465,145846574,765
5967629,114881779,765
123483915,146253297,764
56177046,101153588,763
135715113,139793826,763
122932039,135715113,763
129822391,146517701,762
122558344,139169953,762
49285724,151384275,762
123591261,147935784,761
126976807,146517701,761
38559714,70249324,760
113311676,128768638,759
6255961,142012746,757
142020180,142995492,755
106195450,141903260,755
20528051,81846921,755
123903499,143823829,754
114881779,143571118,753
106195450,120013995,752
137670394,147761702,752
123483915,123591261,752
124835041,145846574,750
147129280,147248284,750
89596067,120249935,750
101153588,148084009,749
137670394,147971144,747
116007922,150014770,747
123483915,152352973,746
139169953,152638777,746
38559714,146517701,745
148541506,152352973,744
114881779,146970658,742
23071490,137670394,741
124073014,142020180,741
13049252,121732938,740
150206283,152638777,740
133767947,142020180,738
24862477,142008057,736
97519176,139169953,736
20528051,80385852,735
38559714,83095108,734
20528051,123932171,733
142014010,146517701,732
129822391,131113734,732
74119380,120316504,731
97049257,101054871,731
101153588,146338726,731
7697855,135444165,731
115359456,123591261,731
139136427,142020180,731
148322228,152352973,731
125552398,135715113,730
123591261,148424754,730
101153588,135715113,729
113375267,136088331,729
46280768,101153588,729
147761702,150635380,729
145783330,145846574,726
101153588,142318749,725
113311676,143901669,725
123483915,140840421,725
49285724,152174446,725
72216248,124694529,724
111645889,142020180,724
24091839,145846574,723
13049252,147129280,722
103303326,145846574,721
135715113,150206283,721
128739024,142020180,719
72216248,99319439,718
26778181,142020180,718
80499351,81846921,718
91935079,147601011,717
145870516,149651647,717
142279111,152638777,717
72216248,101153588,716
71999916,142020180,716
97017302,152352973,715
125487212,125552398,712
123591261,151594401,712
125487212,133831900,712
142367268,145846574,711
142020180,145568886,710
19570235,142478759,710
137046699,142020180,710
132499625,142020180,710
65060864,146517701,709
52169523,123903499,709
150014770,152119245,709
81846921,114881779,708
72216248,146847979,708
123591261,152624802,708
6255961,122584750,708
123591261,127829185,707
119958450,123903499,707
114749708,142478759,707
114881779,142024819,705
124403027,129533265,705
94863925,146517701,702
119636387,149651647,702
114463776,118118853,701
142020180,147890174,700
72216248,128424457,700
142279111,152264530,700
145846574,151461073,700
19570235,139169953,696
101153588,126378299,696
90473758,134896269,696
59896462,142020180,696
72216248,142549082,695
116479096,120316504,695
101506309,147601011,695
80550177,145846574,695
135715113,151271998,694
101153588,132499625,691
114881779,143328816,691
22477772,145846574,691
84877977,120316504,690
50125428,142020180,690
124403027,141556233,689
81846921,123591261,689
122578411,123591261,688
123591261,137143705,688
139169953,145524668,688
140287512,142327375,687
35471813,141556233,687
5883259,146517701,687
20528051,32447709,687
80499351,142008057,686
123591261,145830857,685
49285724,118118853,685
142020180,143810375,685
101153588,126558303,683
101153588,105558588,683
84773768,145846574,683
139045947,147129280,682
83688268,135715113,682
80583981,135715113,682
90473758,101153588,681
101153588,122983691,681
128096699,147761702,681
7697855,52169523,681
136885752,145846574,680
101506309,116007922,680
20528051,124513577,679
132513825,147248284,678
49285724,110449804,678
38559714,85431285,677
114881779,126384622,676
151290699,151384275,676
142020180,146001058,675
140624031,142020180,674
125665720,134611684,674
72216248,142756791,674
118118853,125452148,673
101153588,114052882,672
7697855,24862477,672
110985716,123903499,672
48785505,142020180,672
116007922,142478759,670
72216248,130016579,669
90473758,142010693,668
123591261,147777720,667
89596067,151271998,667
13049252,150635380,666
135715113,140445234,665
130200998,145846574,665
52169523,107081328,664
16720151,142020180,664
49285724,123591261,664
76821344,114881779,664
31160697,87525057,664
84877977,113211660,663
6255961,97519176,663
142668385,150014770,663
52169523,72634316,662
120316504,130385543,661
5967629,142020180,661
142020180,150759543,661
116007922,118118853,660
142020180,150887688,660
135702585,146517701,659
6255961,152284832,659
125552398,141556233,658
123903499,140122164,658
29714380,145846574,658
72216248,122558344,657
132556987,145846574,657
61237264,142020180,656
123903499,136523211,656
113311676,142327375,655
123591261,129118209,655
113211660,145764845,655
123521207,123591261,655
81846921,142024819,655
122713439,145846574,652
79088375,101153588,652
81078358,81846921,651
101153588,143296373,650
85205672,101153588,650
49285724,147129280,650
13049252,49285724,650
116824512,145846574,650
148541506,151153890,650
126976807,152638777,650
83688268,114881779,649
97049257,135715113,649
114881779,142050158,648
83095108,137670394,648
125552398,133169778,648
114749708,140122164,647
137143705,142020180,646
97519176,141556233,645
7697855,90473758,645
90473758,116007922,645
131378925,142327375,644
116052736,141556233,644
90473758,116122468,643
142020180,150275131,643
133054869,142020180,643
114749708,132499625,643
59896462,113375267,641
124835041,146517701,641
90473758,97017302,640
101153588,130277595,639
26941630,123591261,639
80507532,118118853,639
74793449,142020180,639
135702585,149273924,638
70992922,120316504,638
120316504,123359991,637
28484858,149651647,637
142391599,151294083,636
49285724,97519176,635
82193564,135444165,635
142020180,148500640,634
7846363,142020180,634
99109592,142327375,633
101153588,128064401,633
20528051,63006662,633
72216248,147199253,632
118118853,130850377,632
20528051,109182873,631
139169953,145870516,631
130850377,149651647,631
72216248,142212045,630
52169523,139169953,630
66228851,142020180,630
122364604,142020180,630
20528051,29714380,628
20528051,122906507,628
113311676,140288014,627
7697855,120249935,627
120316504,127968706,626
24862477,145382253,625
132266683,132499625,625
101153588,140624031,624
114881779,129533265,624
114881779,134503813,624
123591261,148360758,624
65468059,118118853,624
12179026,141556233,623
72634316,132513825,623
116007922,145353047,623
7697855,142478759,623
140445234,149495470,623
48785505,142279111,623
113211660,147664410,622
139712318,142020180,622
111902618,139169953,622
121732938,150014770,622
38559714,140287806,620
113375267,122650490,619
81846921,143314074,619
63093963,141556233,619
115726825,142020180,619
123591261,134296707,618
68754199,141556233,617
20528051,148446116,616
89596067,147761702,616
90473758,122932039,616
142133657,145846574,616
129731589,135715113,616
148048286,152638777,616
7652964,72216248,615
139793826,145846574,615
140608290,142020180,615
125338962,146517701,615
141324699,142020180,614
123076168,142020180,614
90473758,149654908,614
122550337,146517701,613
38559714,106593553,613
112066335,135444165,613
50125428,72216248,612
142014010,152174446,612
120249935,145353047,611
143314074,144554498,611
31160697,120316504,611
106297635,114881779,611
101153588,121749347,610
13049252,40677431,610
141556233,142024819,610
128064401,142020180,609
123152544,142050158,609
11080438,150014770,609
49285724,91935079,608
120046662,148541506,608
122313879,145846574,608
93267280,114881779,607
91099680,120316504,607
45450464,145846574,607
34266298,139931094,606
125552398,148541506,606
54046314,125487212,606
6255961,110916977,606
145846574,146704051,606
123591261,147993882,605
23071490,149651647,605
134896269,150014770,605
41065284,145846574,605
50125428,139169953,604
142020180,146997418,603
75623101,145846574,603
134611684,142014010,602
101153588,134355602,601
52169523,119636387,601
145846574,150549202,601
113211660,133054869,600
80385852,145846574,600
101153588,121871493,599
20528051,142316568,599
105558588,152352973,599
101153588,139614157,598
123903499,146560009,598
135715113,142008057,598
124694529,142020180,598
101506309,142391599,598
72427495,140445234,597
123591261,147393177,597
72216248,142031705,596
120316504,124025749,596
72427495,123483915,596
118670037,129822391,596
142020180,142668385,596
126476279,141556233,596
128494667,135715113,595
107587651,142020180,595
31160697,150389642,595
101153588,142994527,594
95296595,132513825,594
113211660,136885752,594
20528051,134090856,594
126976807,133831900,594
128768638,150014770,594
134079805,142020180,593
121732938,126527236,593
130010946,145846574,593
125487212,152174446,593
106195450,124835041,592
142327375,148093568,591
78456881,101153588,591
105773087,137670394,591
7462908,31160697,591
114378332,150014770,591
10649454,142327375,590
101153588,120316504,590
142020180,149755362,590
10649454,142478759,590
135715113,139887843,590
125487212,142010693,590
125487212,142024819,589
112854433,139045947,588
113211660,123483915,588
137014834,151294083,587
97049257,142279111,587
42039700,72216248,586
72216248,146314916,586
108184754,123591261,586
120249935,135444165,586
38559714,143296373,586
92937622,123903499,586
115718596,145846574,586
17658682,142279111,586
133831900,139169953,585
90473758,123112419,585
113311676,139793826,584
7079277,151745652,584
122558344,131113734,583
