交易id,会员,投注选项,赔率,投注额,bet33,bet34,bet35,bet36,bet37,bet38,bet39,bet40,bet41
5514841210,101624616,Player,4.8926,3600.79,0.0,0.0,0.0,0.0,0.0,,908.0,10.0,500.0
5514841227,153389067,Small,4.8926,300.36,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841233,142066758,BPair,4.8926,43.5602,0.0,0.0,0.0,0.0,0.0,,910.0,3.0,5.0
5514841238,81840536,Tiger,13.9151,30.89,0.0,0.0,0.0,0.0,0.0,,1.0,4.0,10.0
5514841246,152270321,Even,3.8733,91.52,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,91.0
5514841252,144028332,Big,1.0000,520.54,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,112.0
5514841259,152861004,Sum12,3.8733,3055.08,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,50.0
5514841265,145520431,Even,3.8733,203.44,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,50.0
5514841271,152928777,Odd,3.8733,4009.78,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,800.0
5514841284,125552980,Even,3.8733,1460.223,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,500.0
5514841290,106267365,Player,3.8733,6752.81,0.0,0.0,0.0,0.0,0.0,,112.0,0.0,100.0
5514841301,144078271,Odd,3.8733,1814.55,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,310.0
5514841315,151414901,Even,3.8733,1660.27,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,500.0
5514841322,103618847,Odd,3.8733,1440.72,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,140.0
5514841329,144103356,PPair,3.8733,1711.95,0.0,0.0,0.0,0.0,0.0,,112.0,0.0,10.0
5514841336,117363540,R4,3.8733,227.44,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,20.0
5514841343,152810735,Banker,2638.3768,115000.0,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,100000.0
5514841348,121750888,Banker,3.8733,230.81,0.0,0.0,0.0,0.0,0.0,,8.0,3.0,40.0
5514841357,151813997,W4,3.8733,22.35,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,20.0
5514841360,152494796,PPair,4.8926,659.9,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,50.0
5514841374,143346893,Banker,3.8733,4326.09,0.0,0.0,0.0,0.0,0.0,,907.0,3.0,100.0
5514841381,147490142,Banker,3.8733,4142.73,0.0,0.0,0.0,0.0,0.0,,907.0,3.0,100.0
5514841395,119362569,Even,3.8733,4556.66,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,550.0
5514841407,152158980,Banker,3.8733,108.5,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,30.0
5514841413,116147226,W3R1,3873.2990,1003000.68,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,200000.0
5514841418,151083264,Banker,3.8733,503.67,0.0,0.0,0.0,0.0,0.0,,8.0,3.0,100.0
5514841424,151636603,Player,1.0000,3875.54,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,140.0
5514841430,152310715,Player,4.8926,42.55,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,20.0
5514841445,153375923,Player,4.8926,720.5,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,110.0
5514841451,152146230,Player,0.1472,11.38,0.0,0.0,0.0,0.0,0.0,,8.0,3.0,1.0
5514841466,97880160,SuperLucky7,4.8926,5759.9,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,10.0
5514841472,153303100,W3R1,3.8733,4538.38,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,50.0
5514841479,69100575,Num22,2638.3768,100000.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10000.0
5514841487,148905821,Lucky7,3.8733,8014.6,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,300.0
5514841493,151165674,Super6,4.8926,615.28,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,10.0
5514841498,139377384,R4,3.8733,25007.247,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,200.0
5514841502,153377667,Tie,4.8926,189.0,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,10.0
5514841509,102323111,Lucky7,4.8926,100.95,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,50.0
5514841516,151435001,Odd,3.8733,727.28,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,100.0
5514841521,151294134,Odd,3.8733,1705.36,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,100.0
5514841535,127470497,Num8,3.8733,601.27,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841540,127470497,Num16_17,3.8733,601.27,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841554,152413642,Odd,3.8733,2319.25,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,40.0
5514841563,122550337,Player,3.8733,260.2,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,260.0
5514841568,153375406,Even,3.8733,3606.35,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,100.0
5514841577,152847782,Player,4.8926,439.14,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,100.0
5514841582,153089834,Tiger,4.8926,45.5,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,10.0
5514841589,151971281,BPair,309.0231,183000.5,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,500.0
5514841596,132989574,Player,3.8733,119060.7,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,1060.0
5514841606,126640674,Player,3.8733,137.59,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,137.0
5514841612,148885327,R4,3.8733,611.95,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841619,150784105,Num5,0.1472,794.054,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0
5514841625,150784105,Num20,0.1472,794.054,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0
