uid,bet01_笔数,bet01_投注额,daily_笔数,daily_金额,笔数倍差
139136427,1,22.2,510,40029.0000,510.0
103517820,1,29.45,400,772990.0000,400.0
24664837,1,159.34,301,96245.0000,301.0
95064042,1,43.98,220,20548.0000,220.0
143966288,1,30.03,151,17075.0000,151.0
108131348,1,48.75,132,10242.0000,132.0
111527434,1,150.96,131,21330.0000,131.0
151812874,1,16.28,123,1102.0000,123.0
147350215,1,89.01,116,8747.0000,116.0
63412076,2,470.9932,230,50561.0000,115.0
151042079,2,61.58,218,8100.0000,109.0
107587651,9,1382.8999999999999,978,47977.0000,108.7
151964271,3,208.37,325,42289.0000,108.3
151404005,2,4.404,202,2998.0000,101.0
147207343,2,82.3,200,72359.0000,100.0
66730735,1,275.56,97,28586.0000,97.0
59403208,1,536.08,91,129765.0000,91.0
71476013,2,143807.44,174,58041575.0000,87.0
109875575,2,37.58,173,18637.0000,86.5
152488350,2,50.18,170,3952.0000,85.0
142857073,1,72.0612,85,21408.0000,85.0
124486497,1,10.67,84,2479.0000,84.0
142630076,1,103.15,82,17413.0000,82.0
146244136,1,91.29,81,54201.0000,81.0
122425132,1,20.49,79,4817.0000,79.0
153097579,1,328.08,77,271239.0000,77.0
151928208,1,10.12,72,1290.0000,72.0
153108754,1,14.01,71,3536.0000,71.0
152954811,3,21083.43,204,33410.0000,68.0
145423043,1,375.74,67,804745.0000,67.0
145336921,1,18.4,63,14539.0000,63.0
147855753,2,550.0168,125,20941.0000,62.5
122884485,1,20.25,62,1424.0000,62.0
152598031,1,20.45,62,1637.0000,62.0
150464062,3,104.64999999999999,184,9599.0000,61.3
127248018,2,75.58,120,36073.0000,60.0
149659984,2,161.74,115,12519.0000,57.5
143153172,2,115.47999999999999,114,9851.0000,57.0
149881178,1,100.06,56,8730.0000,56.0
103368282,2,116.22,111,21381.0000,55.5
145001929,1,150.99,54,232.0000,54.0
148427082,1,26.36,53,6760.0000,53.0
150504029,1,16.51,52,14198.0000,52.0
150073766,1,197.7101,52,11478.0000,52.0
50661677,1,280629.8,52,19397750.0000,52.0
152728901,6,4846865.04,304,2974840.0000,50.7
127117627,4,2129.2,202,104971.0000,50.5
137981629,1,10.0025,50,402.0000,50.0
114784857,1,488.05,50,18439.0000,50.0
143348618,2,39.1,100,5293.0000,50.0
153094734,2,36.68,99,11585.0000,49.5
153094418,1,21.65,48,10015.0000,48.0
152936762,1,13.61,47,3244.0000,47.0
151230691,1,15.332,47,2153.0000,47.0
67272855,6,3500.7799999999997,278,54981.0000,46.3
149137146,2,176.12,91,7871.0000,45.5
152132344,2,932.0044,89,11716.0000,44.5
148595483,2,602.14,89,34516.0000,44.5
148504883,1,24.44,44,15297.0000,44.0
153059191,1,2935.8,44,2810.0000,44.0
140961622,1,70.16,43,40127.0000,43.0
148448428,3,196.94,128,9562.0000,42.7
128824979,2,270.8,85,43400.0000,42.5
152420016,1,50.51,42,5993.0000,42.0
133420859,4,47.0,164,1439.0000,41.0
146246594,1,154.55,41,1580.0000,41.0
147679347,1,46.4,40,24446.0000,40.0
153060105,2,60.0,80,5881.0000,40.0
137663937,1,33.22,40,676522.0000,40.0
107245703,2,110.52000000000001,79,5066.0000,39.5
152536038,1,200.58,39,11400.0000,39.0
152044294,1,11.68,38,3458.0000,38.0
137306030,1,2549.33,38,31786.0000,38.0
151731098,12,833.6700000000001,452,9243.0000,37.7
151341778,3,22315.68,112,18572.0000,37.3
106431174,2,76.0,72,1779.0000,36.0
147533937,1,36.99,36,2745.0000,36.0
149612914,1,10.0,36,1692.0000,36.0
153097708,1,20.0,36,3520.0000,36.0
147458740,2,222.993,72,36095.0000,36.0
137321970,9,12435.917800000001,321,68500.0000,35.7
117791986,5,597.0500000000001,173,5142.0000,34.6
148133788,1,29.47,34,764.0000,34.0
148654038,1,32.1,34,22380.0000,34.0
114646919,1,10.5,34,340.0000,34.0
150809700,11,2687.95,364,27143.0000,33.1
105761693,1,71.29,33,4784.0000,33.0
125759887,1,740.05,33,1470.0000,33.0
119036033,1,12.23,33,567.0000,33.0
148055020,1,35.53,32,1873.0000,32.0
139863000,2,1628.6999999999998,64,100329.0000,32.0
145631379,1,153.0006,32,1904.0000,32.0
148443809,1,250.54,31,3756.0000,31.0
106033276,1,55.23,31,6787.0000,31.0
87136606,2,49.6,62,1388.0000,31.0
145013809,1,14.92,31,3790.0000,31.0
146218163,3,151.85999999999999,92,6851.0000,30.7
133683895,21,20399.199999999997,634,73350.0000,30.2
148481954,1,300.1276,30,1441.0000,30.0
153099566,1,11.68,30,1086.0000,30.0
147940203,1,1767.62,30,10580.0000,30.0
111127966,3,27837.0,88,28330.0000,29.3
53969052,4,312.16,116,1740.0000,29.0
131312510,1,1.0,29,39.0000,29.0
133673357,10,12134.970000000001,289,249448.0000,28.9
149477107,4,268.48,113,2516.0000,28.3
83224216,7,2618.67,197,324835.0000,28.1
18534904,1,300.09,28,29957.0000,28.0
151084641,2,2001.52,56,51375.0000,28.0
123707739,6,2449.2,166,8497.0000,27.7
129139771,1,150.46,27,14335.0000,27.0
153091336,2,183.34,54,36051.0000,27.0
134521342,7,1184.8899999999999,187,20076.0000,26.7
41746879,3,2403.5499999999997,80,3282.0000,26.7
150364708,4,250.01999999999998,106,8662.0000,26.5
124013673,4,2753.6000000000004,105,162900.0000,26.3
151398759,39,29465.54,1020,343798.0000,26.2
148318825,73,6525.29,1903,189102.0000,26.1
151919793,3,164.72639999999998,78,58949.0000,26.0
144541476,2,700.74,52,7800.0000,26.0
150635893,1,20.1,26,649.0000,26.0
153110183,2,903.96,52,21141.0000,26.0
151293681,3,91.19999999999999,78,2192.0000,26.0
151861162,1,19.36,26,6969.0000,26.0
142710508,1,45.1,25,1475.0000,25.0
148529448,1,137.6,25,23990.0000,25.0
152016673,1,6052.57,25,5460.0000,25.0
152519803,21,64758.46000000001,522,992.0000,24.9
37687359,3,210001.05000000002,72,4882838.0000,24.0
148417220,2,93.22999999999999,48,3309.0000,24.0
148606475,1,41.0,24,9411.0000,24.0
152724192,18,10935.18,428,13018.0000,23.8
127859466,4,31.0,94,873.0000,23.5
153005889,4,941.44,93,31468.0000,23.3
116261894,4,409.624,93,1290.0000,23.3
133826212,1,26.25,23,1503.0000,23.0
128092932,45,15100.0,1020,104000.0000,22.7
142332598,2,549.94,45,2245.0000,22.5
128985203,3,232.06,67,9212.0000,22.3
146161420,3,79.98,66,1223.0000,22.0
146012174,1,601.61,22,4158.0000,22.0
152646436,1,154.82,22,19170.0000,22.0
152686969,1,48.391,22,2152.0000,22.0
138106482,1,13.79,22,2316.0000,22.0
118152216,17,219.20999999999998,369,3150.0000,21.7
145217254,2,566.04,43,31308.0000,21.5
127204811,2,4364.84,43,960.0000,21.5
148399258,2,135.74,42,33822.0000,21.0
99766407,1,738.1,21,9250.0000,21.0
134319138,1,110.35,21,2430.0000,21.0
79777867,2,257.7,42,12578.0000,21.0
149352939,1,101.35,21,8854.0000,21.0
33814355,1,351.06,21,3791.0000,21.0
151227071,2,50.0,42,700.0000,21.0
143662563,4,16005.52,83,53059.0000,20.8
148601680,4,724.52,83,8851.0000,20.8
135611159,21,6206.569999999999,433,38894.0000,20.6
114726551,11,2255.09,225,25044.0000,20.5
151904236,2,2796.0,41,4250.0000,20.5
146429542,2,64.2838,41,1484.0000,20.5
145815627,1,37.94,20,29.0000,20.0
125948331,1,806.17,20,105815.0000,20.0
152547653,1,12.44,20,748.0000,20.0
142052979,1,31.9,20,1258.0000,20.0
148372725,1,25.04,20,853.0000,20.0
126976131,1,19.89,19,4951.0000,19.0
148416649,1,19.29,19,1141.0000,19.0
142253186,3,596.71,57,3067.0000,19.0
151524044,4,2596.1000000000004,75,262739.0000,18.8
