交易id,bet01_会员,bet02_会员,bet01_投注额,bet02_投注额,bet01_有效投注,bet02_有效投注,bet01_赔率,bet02_赔率,bet01_投注选项,bet02_投注选项,bet01_bet30,bet02_bet30,bet01_荷官,bet02_荷官,bet01_serid,bet02_serid,bet01_更新时间,bet02_更新时间
5514782833,149406361,149406361,10.3000,10.3000,8.0000,8.0000,4.8926,4.8926,Player,Player,N,0.0000,2223,2223,-1,-1,2026-07-24 12:08:33,2026-07-24 12:08:57
5514801189,148314300,148314300,21.9700,21.9700,21.0000,21.0000,3.8733,3.8733,Banker,Banker,N,0.0000,1353,1353,-1,-1,2026-07-24 12:26:40,2026-07-24 12:26:58
5514894126,153393897,153393897,220.0000,220.0000,10.0000,10.0000,4.8926,4.8926,PPair,PPair,N,0.0000,987,987,-1,-1,2026-07-24 13:55:47,2026-07-24 13:56:09
5514995778,135821830,135821830,505.7900,505.7900,50.0000,50.0000,4.8926,4.8926,Banker,Banker,N,0.0000,-1,-1,-1,-1,2026-07-24 15:28:28,2026-07-24 15:28:54
5515013211,153346132,153346132,17200.3500,17200.3500,300.0000,300.0000,4.8926,4.8926,Tie,Tie,N,0.0000,2170,2170,-1,-1,2026-07-24 15:43:55,2026-07-24 15:44:05
5515070858,134720816,134720816,800.3000,800.3000,100.0000,100.0000,3.8733,3.8733,W3R1,W3R1,N,0.0000,2129,2129,-1,-1,2026-07-24 16:35:19,2026-07-24 16:35:53
5515077110,122888210,122888210,1806.1800,1806.1800,100.0000,100.0000,4.8926,4.8926,Banker,Banker,N,0.0000,-1,-1,-1,-1,2026-07-24 16:41:28,2026-07-24 16:42:04
5515103319,151404005,151404005,170.5020,170.5020,40.0000,40.0000,4.8926,4.8926,Banker,Banker,N,0.0000,1654,1654,-1,-1,2026-07-24 17:05:59,2026-07-24 17:06:17
5514839582,132989574,132989574,128960.7000,128960.7000,1000.0000,1000.0000,3.8733,3.8733,Player,Player,N,0.0000,2223,2223,-1,-1,2026-07-24 13:05:06,2026-07-24 13:05:21
5514890297,144103356,144103356,2827.4500,2827.4500,250.0000,250.0000,3.8733,3.8733,Banker,Banker,N,0.0000,2268,2268,-1,-1,2026-07-24 13:52:03,2026-07-24 13:52:22
