TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_RedPacketSetup,status,varchar,"source_type=tinyint(1); 活动状态:0:关闭,1:开启"
ods_a168_RedPacket_Order,status,varchar,"source_type=enum(''Y'',''N''); Y:已領取,N:未領取"
ods_a168_agent,membermax,varchar,source_type=int(11); 會員總數
ods_a168_agent_bak20250610,membermax,varchar,source_type=int(11); 會員總數
ods_a168_agent_partner_gamelist,status,varchar,source_type=int(11); 開關
ods_a168_agent_permissionrole,status,varchar,source_type=int(11); 0:禁用;1啟用
ods_a168_agent_test,membermax,varchar,source_type=int(11); 會員總數
ods_a168_aggregate_setting,status,varchar,source_type=tinyint(1); 啟停用
ods_a168_aggregate_transaction,status,varchar,"source_type=tinyint(1); 呼叫狀態 0:未處理,1:成功,2:失敗,3:回滾,4:處理中"
ods_a168_alarmMessage,status,varchar,source_type=int(11); 
ods_a168_alertMessage,status,varchar,source_type=tinyint(1); 0:未處理1:已處理
ods_a168_bet_limit_default,status,varchar,source_type=int(11); 
ods_a168_category,status,varchar,source_type=tinyint(1); 軟刪除設定 1:軟刪除 ，因為level和aid是索引唯一，所以軟刪除也請把該筆level1更新成sn
ods_a168_categoryLevel,status,varchar,source_type=int(11); 狀態
ods_a168_close_tip_list,game_user,varchar,source_type=varchar(30); 
ods_a168_conversion,status,varchar,"source_type=int(11); 1:申請,2:完成,9:失敗"
ods_a168_emp_login,logintime,varchar,source_type=datetime; 
ods_a168_emp_login,loginip,varchar,source_type=varchar(20); 
ods_a168_emp_login,status,varchar,source_type=int(11); 
ods_a168_employee,status,varchar,"source_type=int(11); 0:下線中,1:上線中,2:連結中,3:己連線,4:暫時離開"
ods_a168_employee,servicemember,varchar,source_type=int(11); 服務會員
ods_a168_game_callwebapi,status,varchar,source_type=int(11); 0:待處理 1:處理中 2:完成
ods_a168_game_log,user_agent,varchar,source_type=text; 
ods_a168_game_type,status,varchar,source_type=int(11); 
ods_a168_jackpot,status,varchar,source_type=int(11); 狀態
ods_a168_member_partner_account,username,varchar,source_type=varchar(30); 第三方遊戲帳號
ods_a168_member_partner_gamelist,status,varchar,source_type=int(11); 開關
ods_a168_partner_gamelist,status,varchar,source_type=int(1); 狀態
ods_a168_partner_gamelist,status_mobile,varchar,source_type=int(1); 手機版狀態
ods_a168_partner_gamelist,status_lock,varchar,source_type=tinyint(1); 開關鎖
ods_a168_partner_transation,status,varchar,"source_type=tinyint(1); 0:未處理,1:成功,2:失敗,3:回滾,4:處理中"
ods_a168_partner_type,status,varchar,source_type=int(11); 0: 關閉 1: 開放
ods_a168_payment_method,status,varchar,source_type=int(1); 狀態
ods_a168_payment_order,status,varchar,"source_type=int(11); 0:未處理, 1:支付&加點成功, 2:支付成功;加點失敗, -1: 線上支付失敗, 999: 訂單處理中"
ods_a168_payment_platform,status,varchar,source_type=int(1); 啟停用
ods_a168_payment_setting,status,varchar,source_type=int(1); 啟停用
ods_a168_permissionrole,status,varchar,source_type=int(11); 0:禁用;1啟用
ods_a168_permissions,status,varchar,source_type=int(11); 是否啟用 0:禁止;1:啟用
ods_a168_permissions,mobilestatus,varchar,source_type=int(11); 手機板開關
ods_a168_permissionsPage,status,varchar,"source_type=enum(''Y'',''N''); 預設開關"
ods_a168_permissionsPageRoles,status,varchar,"source_type=enum(''Y'',''N''); 啟/停用"
ods_a168_permissionsgroup,status,varchar,source_type=int(11); 是否啟用 0:禁止;1:啟用
ods_a168_realtimelog,betmember,varchar,source_type=int(11); 本日累計投注人數
ods_a168_shuffle_info,status,varchar,source_type=int(11); 0:洗牌中 1:可上桌 2:上桌中 3:已上桌 4:已完成
ods_a168_sms_setting,username,varchar,source_type=varchar(20); 帳號
ods_a168_subagent_permissionrole,status,varchar,source_type=int(11); 0:禁用;1啟用
ods_a168_tablelimit,status,varchar,"source_type=int(1); 状态.0暂停,1正常"
ods_a168_tablelimit,status_lock,varchar,source_type=tinyint(1); 開關鎖
ods_a168_tablelimit_third,status,varchar,source_type=int(1); 第三方狀態
ods_a168_urllist,register,varchar,source_type=int(1); 
ods_a168_wallet_dtl,user,varchar,source_type=varchar(30); 
ods_a168_wallet_dtl,status,varchar,source_type=tinyint(1); 0:未處理 1:成功 2:失敗  3.回滾
ods_a168_wallet_dtl,feedback_status,varchar,"source_type=tinyint(1); 0,未處理 1,成功 2,失敗"
ods_a168_wallet_reporter,status,varchar,"source_type=enum(''Y'',''N'',''P'',''X''); 狀態 N:未處理,Y:已處理,P:處理中, X: 處理失敗"
ods_a168_wallet_reporter_copy,status,varchar,"source_type=enum(''Y'',''N'',''P'',''X''); 狀態 N:未處理,Y:已處理,P:處理中, X: 處理失敗"
ods_a168_wechat_url,status,varchar,"source_type=tinyint(1); 0:使用,1:禁用"
