column_name,data_type,ordinal_position
__source_pk,varchar,1
dt,date,2
lacc01,varchar,3
lacc02,varchar,4
lacc03,varchar,5
op_utp,varchar,6
lacc04,varchar,7
lacc05,varchar,8
lacc06,varchar,9
lacc07,varchar,10
lacc08,varchar,11
lacc09,varchar,12
lacc10,varchar,13
lacc11,varchar,14
pointtype,varchar,15
source_db,varchar,16
source_table,varchar,17
ods_table_name,varchar,18
sync_time,datetime,19
