TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacket_Order,lv3percent,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv4percent,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv5percent,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,addtime,varchar,source_type=datetime; gs寫單時間
ods_mariadb_2b,ods_a168_RedPacket_Order,receivetime,varchar,source_type=datetime; 領取時間
ods_mariadb_2b,ods_a168_RedPacket_Order,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_RedPacket_Order,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_RedPacket_Order,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_RedPacket_Order,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_SMR_log,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_SMR_log,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_SMR_log,sn,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet02,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet03,varchar,"source_type=decimal(12,0); "
ods_mariadb_2b,ods_a168_SMR_log,bet04,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet22,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,category,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,receivetime,varchar,source_type=datetime; 
ods_mariadb_2b,ods_a168_SMR_log,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_SMR_log,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_SMR_log,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_SMR_log,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_age_login,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_age_login,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_age_login,alg001,varchar,source_type=int(11); age_id
ods_mariadb_2b,ods_a168_age_login,alg002,varchar,source_type=int(11); site
ods_mariadb_2b,ods_a168_age_login,alg003,varchar,source_type=varchar(50); sid
ods_mariadb_2b,ods_a168_age_login,alg004,varchar,source_type=timestamp; this_login
ods_mariadb_2b,ods_a168_age_login,alg005,varchar,source_type=timestamp; last_login
ods_mariadb_2b,ods_a168_age_login,alg006,varchar,source_type=text; ip
ods_mariadb_2b,ods_a168_age_login,alg007,varchar,source_type=text; info
ods_mariadb_2b,ods_a168_age_login,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_age_login,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_age_login,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_age_login,sync_time,datetime,同步时间
