TABLE_NAME,COLUMN_NAME,COLUMN_COMMENT
ods_a168_bet01,bet16,source_type=int(11); LV2ID
ods_a168_bet01,bet17,source_type=int(11); LV3ID
ods_a168_bet01,bet18,source_type=int(11); LV4ID
ods_a168_bet01,bet19,source_type=int(11); LV5ID
ods_a168_bet01,bet20,"source_type=decimal(16,4); LV1佔成"
ods_a168_bet01,bet21,"source_type=decimal(16,4); LV2佔成"
ods_a168_bet01,bet22,"source_type=decimal(16,4); LV3佔成"
ods_a168_bet01,bet23,"source_type=decimal(16,4); LV4佔成"
ods_a168_bet01,bet24,"source_type=decimal(16,4); LV5佔成"
ods_a168_bet01,bet25,"source_type=decimal(16,4); LV1退水%數"
ods_a168_bet01,bet26,"source_type=decimal(16,4); LV2退水%數"
ods_a168_bet01,bet27,"source_type=decimal(16,4); LV3退水%數"
ods_a168_bet01,bet28,"source_type=decimal(16,4); LV4退水%數"
ods_a168_bet01,bet29,"source_type=decimal(16,4); LV5退水%數"
ods_a168_bet01,bet30,"source_type=enum(''Y'',''N''); 取消單"
ods_a168_bet01,bet31,source_type=int(11); 桌子編號(Table ID)
ods_a168_bet01,bet32,source_type=int(11); 房間編號(Room ID)
ods_a168_bet01,betwalletid,source_type=text; 下注單一錢包用
ods_a168_bet01,commission,"source_type=int(11); 0.一般,1,免傭"
ods_a168_bet01,ip,source_type=varchar(15); 下注IP
ods_a168_bet01,partnerBetId,source_type=varchar(50); 第三方注單編號
ods_a168_bet02,bet01,source_type=bigint(20); 注單編號
ods_a168_bet02,bet02,source_type=int(11); 遊戲類別編號
ods_a168_bet02,bet03,"source_type=decimal(12,0); 場次編號"
ods_a168_bet02,bet04,source_type=int(11); 子場次編號
ods_a168_bet02,bet05,source_type=int(11); 會員編號
ods_a168_bet02,bet06,source_type=datetime; 開局時間
ods_a168_bet02,bet07,source_type=date; 帳務日期
ods_a168_bet02,bet08,source_type=datetime; 下注時間
ods_a168_bet02,bet09,source_type=varchar(100); 下注內容
ods_a168_bet02,bet10,source_type=int(11); 幣別
ods_a168_bet02,bet11,"source_type=decimal(16,4); 匯率"
ods_a168_bet02,bet12,"source_type=decimal(16,4); 起始點數"
ods_a168_bet02,bet12a,"source_type=decimal(16,4); 起始籌碼"
ods_a168_bet02,bet13,"source_type=decimal(16,4); 下注金額"
ods_a168_bet02,bet14,"source_type=decimal(16,4); 派彩"
ods_a168_bet02,bet15,"source_type=decimal(16,4); 退水％數"
ods_a168_bet02,bet16,"source_type=decimal(16,4); 退水金額"
ods_a168_bet02,bet17,"source_type=decimal(16,4); 結果"
ods_a168_bet02,bet18,source_type=int(11); LV1ID
ods_a168_bet02,bet19,source_type=int(11); LV2ID
ods_a168_bet02,bet20,source_type=int(11); LV3ID
ods_a168_bet02,bet21,source_type=int(11); LV4ID
ods_a168_bet02,bet22,source_type=int(11); LV5ID
ods_a168_bet02,bet23,"source_type=decimal(16,4); LV1佔成"
ods_a168_bet02,bet24,"source_type=decimal(16,4); LV2佔成"
ods_a168_bet02,bet25,"source_type=decimal(16,4); LV3佔成"
ods_a168_bet02,bet26,"source_type=decimal(16,4); LV4佔成"
ods_a168_bet02,bet27,"source_type=decimal(16,4); LV5佔成"
ods_a168_bet02,bet28,"source_type=decimal(16,4); LV1退水%數"
ods_a168_bet02,bet29,"source_type=decimal(16,4); LV2退水%數"
ods_a168_bet02,bet30,"source_type=decimal(16,4); LV3退水%數"
ods_a168_bet02,bet31,"source_type=decimal(16,4); LV4退水%數"
ods_a168_bet02,bet32,"source_type=decimal(16,4); LV5退水%數"
ods_a168_bet02,bet33,"source_type=decimal(16,4); LV1結果"
ods_a168_bet02,bet34,"source_type=decimal(16,4); LV2結果"
ods_a168_bet02,bet35,"source_type=decimal(16,4); LV3結果"
ods_a168_bet02,bet36,"source_type=decimal(16,4); LV4結果"
ods_a168_bet02,bet37,"source_type=decimal(16,4); LV5結果"
ods_a168_bet02,bet38,"source_type=enum(''Y'',''N''); 重對"
ods_a168_bet02,bet39,source_type=int(11); 桌子編號
ods_a168_bet02,bet40,source_type=int(11); 房間編號
ods_a168_bet02,bet41,"source_type=decimal(16,4); 下注退水金額"
ods_a168_bet02,betwalletid,source_type=text; 下注單一錢包用
ods_a168_bet02,resultwalletid,source_type=varchar(50); 結算單一錢包用
ods_a168_bet02,validbet,"source_type=decimal(16,4); 有效投注"
ods_a168_bet02,commission,"source_type=int(11); 0.一般,1,免傭"
ods_a168_bet02,ip,source_type=varchar(15); 下注IP
ods_a168_bet_No,bet01,source_type=bigint(20); 
ods_a168_bet_partner,bet01,source_type=bigint(11); 注單編號
ods_a168_bet_partner,betTime,source_type=datetime; 下注時間
ods_a168_bet_partner,partnerBetId,source_type=varchar(100); 
ods_a168_bet_partner,bet_result,source_type=text; 開獎結果
ods_a168_betchange_log,old_bet01,source_type=bigint(20); 
ods_a168_betchange_log,new_bet01,source_type=bigint(20); 
ods_a168_betchange_log,old_bet05,source_type=int(11); 
ods_a168_betchange_log,new_bet05,source_type=int(11); 
ods_a168_betchange_log,old_bet09,source_type=text; 
ods_a168_betchange_log,new_bet09,source_type=text; 
ods_a168_betchange_log,old_ip,source_type=text; 
ods_a168_betchange_log,new_ip,source_type=text; 
ods_a168_category,op_ip,source_type=varchar(50); 操作者IP
ods_a168_categoryLevel,depositLimitMin,"source_type=decimal(16,4); 最低存款限額, 0為不限制"
ods_a168_categoryLevel,depositLimitMax,"source_type=decimal(16,4); 最高存款限額, 0為不限制"
ods_a168_categoryLevel,withdrawLimitMin,"source_type=decimal(16,4); 最低提款限額, 0為不限制"
