bet05,avg_players,max_players
146725257,769572.0,769572
73577746,750537.4641074856,769572
121525139,156173.27272727274,267852
130963302,217999.6641025641,769572
93833005,260516.92612117046,769572
123791491,204130.58378378378,769572
143093619,141322.80503731343,769572
130218049,769281.058354733,769572
147669276,769572.0,769572
38758184,156832.09224730128,769572
123030573,245947.60691448546,769572
75623101,191849.94513407254,769572
143441720,276616.9960784314,769572
115884727,431016.0961538461,769572
147359101,224491.78145695364,769572
146479618,231505.28489373924,769572
141088668,393406.74048913043,769572
90601394,392453.7339469647,769572
134675944,208485.53019950807,769572
139497569,163090.80296296297,769572
133181972,310468.3908045977,769572
113081841,185699.85097147583,769572
147409594,768892.569476082,769572
146622043,293318.23287671234,769572
117388618,238341.29562043794,769572
142933566,381298.5,769572
92027672,191154.8937585266,769572
147383002,403660.33785985876,769572
144416564,173827.239488117,769572
144198647,769572.0,769572
142329461,96762.09952050103,118426
147669921,769572.0,769572
139091271,204141.3720877113,769572
134688446,161112.89595375722,267852
99990377,414178.99595959595,769572
140458902,263426.73602344457,769572
37244985,646837.0575571178,769572
14305946,360626.4658703072,769572
147372815,200209.16949152542,250168
136480365,386796.1748213304,769572
111493592,420874.7237316663,769572
147427596,223443.5,267852
42734092,261401.55756319934,769572
101610963,769283.9330895009,769572
43091910,768659.8839137645,769572
134120092,235773.75,267852
146827812,248014.390036452,769572
141818523,768836.7528599605,769572
131145572,246218.88349514562,769572
146611505,96879.44700918342,250168
122111713,769572.0,769572
142013032,180817.0906468266,769572
141103031,769572.0,769572
141985834,397448.78014981275,769572
137774046,451838.11029411765,769572
67067848,127515.83617021277,769572
52307861,183144.05108900243,769572
147622457,241530.9090909091,769572
145966027,411163.432,769572
146103365,228577.82545454544,769572
41938058,219565.3746200608,769572
146983903,416782.6961778471,769572
88645268,271848.7824561403,769572
140402778,218525.56095238094,769572
145147473,233998.0,233998
106448806,173930.82539682538,769572
122599309,262662.4163265306,769572
51475016,190777.59243986255,769572
131705666,240074.94444444444,769572
129041121,266383.23346613545,769572
36292408,519278.0753975678,769572
109021969,218501.381489842,769572
41090030,273796.7186270406,769572
141386973,767309.4303797468,769572
133891934,229121.9294871795,769572
84667388,236917.9295774648,238523
61603117,179201.58273381295,267852
23540666,225961.20110648492,769572
146946742,275411.40622598,769572
70698548,359123.47105263156,769572
140576774,131814.19782214155,769572
140282788,374021.6151891199,769572
58752677,420917.621875,769572
143797612,167185.5499817585,769572
122666177,470473.2314148681,769572
147785591,144338.77777777778,267852
143090785,199824.24334319527,769572
118457245,180175.62896825396,769572
37542972,398325.89813769754,769572
142018023,390619.5777777778,769572
122551101,201191.32033292062,769572
82709643,161575.67738317756,769572
108544750,159941.62502694546,769572
137060518,309101.22672661603,769572
141679151,210510.12820512822,769572
120879778,414497.256302521,769572
142644795,401895.4595375722,769572
147650314,251701.975,769572
142016157,412663.2262295082,769572
146362292,213089.82115384616,769572
125429930,765630.4405888538,769572
125310193,190328.4675971615,769572
81926186,174114.51922945087,769572
147793647,769572.0,769572
146118856,224839.8402955385,769572
142009365,412290.089986156,769572
121782445,254021.3432835821,267852
17279869,765782.0295951099,769572
22135585,632798.4489376285,769572
147185321,181379.93611793613,769572
78454222,142710.86900841567,769572
122397844,158137.35818181818,267852
134253232,245815.9353669586,769572
147098756,244408.0,267852
24042849,424857.764075067,769572
133946703,236936.47657512117,769572
75318656,769572.0,769572
8897704,279661.12323301414,769572
147624757,227932.449122807,769572
132306125,195141.50833333333,769572
136079468,247882.32845849803,769572
147608522,192640.95544739798,769572
111455882,211527.42195767196,769572
108010628,229362.58333333334,267852
143383830,207363.28440366974,769572
95543544,769572.0,769572
121236944,443270.4458598726,769572
146914490,235129.25,238523
124294240,201740.37495696088,769572
113326839,209448.71698113208,233998
147625762,769572.0,769572
58698061,205003.6656880734,769572
85459920,203737.42973286877,769572
65921015,485660.85970674484,769572
147184430,439447.8179104478,769572
122553337,534476.2462686567,769572
147553543,161701.30701754385,769572
143245141,197537.08875739644,769572
141097788,258768.69609690443,769572
132833380,248174.06798245615,769572
112711904,179523.74687144483,769572
127829185,257019.57712946867,769572
140672959,217780.29057485273,769572
123014666,418116.1454959514,769572
142026601,247233.15457075572,769572
99957292,266545.04545454547,769572
134521342,769275.1277647201,769572
128424457,174599.29973004243,769572
65765968,214649.3721590909,769572
142144261,411908.6046187053,769572
121957541,203935.03333333333,769572
106592357,275764.3747821034,769572
147676503,769572.0,769572
144111662,769572.0,769572
135719713,293092.32352941175,769572
125294894,335063.5083532219,769572
119083233,769572.0,769572
147676624,769572.0,769572
140380546,200433.8246792914,769572
147676882,69263.0,69263
147676955,769572.0,769572
132187785,178196.57480314962,769572
147677091,769572.0,769572
147517579,197879.7142857143,250168
145612713,224278.0,267852
143359017,217258.2054669704,769572
99657123,192708.22370617697,769572
147628806,213814.30857564264,769572
147721043,470005.8531746032,769572
147086120,318516.0814814815,769572
131949380,769572.0,769572
147632875,769572.0,769572
132953714,354689.96875,769572
137424358,96721.0,96721
132634003,210962.22313564297,769572
115175239,209358.46453519614,769572
141945531,201664.775,769572
147407294,171278.0615835777,769572
75354902,278131.916841553,769572
143313106,273396.6230993433,769572
147736024,174715.14671814672,267852
141534400,540064.9411764706,769572
126904510,170020.2877959927,769572
146723128,146722.31818181818,769572
129403511,182066.03597122303,769572
147467762,117036.61485067662,769572
144707730,190758.66772151898,769572
130643775,210230.04761904763,769572
147759936,255473.2,267852
147465644,324606.8144680851,769572
147760603,769572.0,769572
96291857,96824.21624548736,233343
63778888,247899.64009111616,769572
122991424,159694.48584070796,769572
147762146,137199.4,233998
147602301,224266.6655256283,769572
139698392,428495.990430622,769572
147762442,769572.0,769572
20566551,395822.0186741363,769572
147270789,160679.73333333334,267852
39321690,254438.86754966888,769572
139878001,165398.06794055202,769572
147677897,732947.9310344828,769572
138864677,695609.3793103448,769572
113988022,210384.00443101712,769572
147678268,263960.92307692306,769572
146596677,140944.0,140944
142134748,240160.96663296258,769572
147678362,769572.0,769572
117231930,196838.3390882115,769572
124035088,769572.0,769572
113774023,769572.0,769572
111408457,769572.0,769572
147184214,437630.2466367713,769572
107626933,196570.16328502414,769572
146048279,206552.0303030303,769572
147552815,225992.08808553973,769572
133527374,269277.9864864865,769572
134498055,243587.45051194538,769572
36884265,208278.90255310855,769572
131456501,177037.89160401002,769572
132772557,764449.8300283286,769572
147678959,267093.575,769572
147384532,216528.12089810017,769572
91679091,233834.92197620124,769572
133235434,231213.4776119403,769572
147679190,238523.0,238523
130577203,429470.86249045073,769572
147744205,211532.40802675585,769572
128477587,211823.59604105572,769572
119636387,221122.25483931592,769572
138211584,411154.703125,769572
147728536,202807.359375,769572
106416469,109160.8,250168
33639351,158162.43915603534,769572
105557652,192560.41782355576,769572
139890017,246900.89258698942,769572
147799118,221339.63636363635,233998
146646638,769572.0,769572
139105666,420753.8076923077,769572
81094432,266133.3888888889,769572
145148766,348298.2302798982,769572
146158593,248586.47005988023,769572
147799340,233998.0,233998
143302713,221978.42874968806,769572
125511489,417077.2926829268,769572
136401674,202854.58319870758,769572
147646250,721441.9191321499,769572
147796054,177571.85569334836,769572
143567454,212288.98838709676,769572
93024326,394889.8828402367,769572
94737588,412779.1617647059,769572
147505956,195943.6,250168
147799943,415595.9166666667,769572
137215532,238523.0,238523
147684045,183009.2820143885,769572
110683908,620214.5612648221,769572
143053662,260052.9593373494,769572
125954231,246612.70163934428,769572
129329055,255888.58574181117,769572
147382651,760248.0168161435,769572
142009580,408392.6472906404,769572
118063992,204239.5632183908,769572
99154092,167530.03470031545,769572
147722487,173698.52112676058,250168
56453286,164263.21775312067,769572
147766069,212859.7570093458,769572
147190906,260642.7747368421,769572
140884318,256668.6676470588,769572
111879587,241428.4633204633,267852
147545144,212399.9090909091,769572
120799657,266376.13125,769572
147675332,732539.3739130435,769572
140062607,441398.3921113689,769572
123335351,134404.52777777778,233998
147768343,225000.5283018868,769572
143387696,239049.7404040404,769572
138039718,284282.7285003554,769572
147769113,769572.0,769572
122551757,767619.4137460173,769572
140110161,746332.768115942,769572
146617542,232163.91901795528,769572
65214119,271726.07889908255,769572
147701423,194772.7676056338,769572
146623653,231107.90835579514,769572
145957037,408769.7787524366,769572
147769334,108334.25,157697
142949562,183482.2,238523
147769328,239496.25333333333,769572
147769464,769572.0,769572
147583487,195138.52,250168
147177108,252784.437596302,769572
147084234,141730.13337100876,769572
143426653,255363.99956255467,769572
100107643,265017.4914326511,769572
135635188,194879.07597535933,267852
132399908,144081.25,250168
134057681,210182.39759036145,769572
134903694,196187.014160022,769572
144947881,237192.34140435836,769572
147711028,355094.73170731706,769572
147711026,769572.0,769572
147711107,769572.0,769572
90125628,769572.0,769572
95924106,586897.6929824562,769572
133389635,195689.56121537086,769572
80767330,769572.0,769572
132647939,223654.85821517932,769572
92269229,280081.1211305518,769572
147711379,769572.0,769572
147693988,333365.1891891892,769572
146120470,259299.05193236715,769572
147565989,325446.7043478261,769572
127113981,107459.13539967373,769572
122944557,101485.25363825363,267852
145796279,190419.57142857142,769572
100304048,309897.6945244957,769572
147685533,460786.8,769572
116147371,410253.06734006735,769572
142578884,305221.7126436782,769572
118402175,118040.43871835088,769572
145193876,178388.0,185196
147674361,186429.16203703705,769572
146599541,357665.67603305785,769572
145899356,192609.07197395014,769572
147364530,250168.0,250168
93034295,224617.87068965516,769572
124075465,401265.77770587284,769572
147132584,277840.48293963255,769572
23688408,285434.56051502144,769572
103963242,280700.8333333333,769572
147577954,399410.6463483146,769572
113661865,230064.12280701756,769572
147631339,128447.0,128447
147631319,344117.3947368421,769572
147631383,769572.0,769572
147631124,195763.8125,267852
142974728,243187.77777777778,769572
86759977,769572.0,769572
147631303,726539.6178010472,769572
106444271,527973.9750915751,769572
147628083,250809.88235294117,267852
131170086,159787.19047619047,267852
105819654,427652.75181355147,769572
147570503,173150.59980014988,769572
111645889,243900.12235794388,769572
112559405,769572.0,769572
94378206,226281.73913043478,267852
55103357,446556.35680751177,769572
134916853,422407.1327433628,769572
58183367,769572.0,769572
74977084,168874.0687830688,769572
68418046,768271.7249445108,769572
98498047,170309.16569866758,769572
145784561,248129.64481525627,769572
63981150,98826.7598804835,769572
147852135,157697.0,157697
141189077,186041.73796791444,769572
137483117,628429.8768982973,769572
146188070,211147.50704225354,769572
129197825,198004.94520547945,769572
147852159,233998.0,233998
147765161,248472.56544502618,769572
146948375,168145.04242424242,769572
117651344,223293.7183908046,769572
84708862,701539.1496939344,769572
134428374,769323.8462616822,769572
13515875,216959.3009118541,769572
134989673,165902.62406015038,769572
143412772,170178.11096938775,769572
16720151,175650.64642470656,769572
147636070,769572.0,769572
118581656,768298.9697523514,769572
147550824,185401.61538461538,769572
142070261,211041.15997968512,769572
97245839,376182.56140350876,769572
147630324,366821.9773429454,769572
146669296,450711.8280254777,769572
147373490,193671.1226993865,769572
132989436,249896.32948628947,769572
143441569,769572.0,769572
147636525,170582.84615384616,238523
113969723,507560.97858017136,769572
104732991,229962.19047619047,769572
146019672,398648.3447293447,769572
82239773,463315.10685805423,769572
147636688,769572.0,769572
123496780,267245.69105691055,769572
143641653,175536.75468975469,769572
139300686,102786.36745722005,769572
79942563,193269.3717146433,769572
147854897,163707.44444444444,250168
111579612,154966.33399602387,769572
69837197,319798.9265536723,769572
76543503,187566.1356041131,769572
118719977,179089.69977255497,769572
104449515,236761.63318777294,769572
124019529,266605.8888888889,769572
146800576,241009.5846153846,769572
125788865,188115.6009174312,769572
147814307,359907.04347826086,769572
139217013,467287.0926327194,769572
143046360,234186.2558139535,238523
142128578,408739.1287553648,769572
111898063,769572.0,769572
112064213,204868.1345477127,769572
147854869,769572.0,769572
124002110,461697.42424242425,769572
112330133,177250.37688442212,769572
147848680,246141.1219512195,769572
143270698,203162.39285714287,769572
146999105,213253.47222222222,769572
137895307,336290.7230856174,769572
147845603,233884.19402985074,238523
147855622,769572.0,769572
145851614,183177.29755434784,769572
103667475,578204.029739777,769572
121845673,401605.024757444,769572
114749708,178062.6465487771,769572
24452513,769572.0,769572
147639263,231637.5,267852
137839099,195132.8620689655,267852
127470497,769572.0,769572
147639582,769572.0,769572
124380072,227996.65338645419,769572
122515301,454875.9489051095,769572
122568215,195300.26994906622,769572
140855935,402677.93376865675,769572
144462000,210225.80858310626,769572
146993168,640200.1326086957,769572
144833887,213962.7142857143,267852
147769212,229766.66666666666,250168
146146427,173717.06218727664,769572
143752091,145568.36642667677,769572
77407152,203671.7092920354,769572
130280165,207104.14285714287,769572
122816487,377269.46774654597,769572
97650255,343474.08379888267,769572
127613149,231109.585106383,769572
141544331,321118.2192,769572
135708582,210731.56659347317,769572
147776263,769572.0,769572
147776690,769572.0,769572
136636919,240574.0437287248,769572
147776723,169827.88235294117,233998
147437098,194216.34464646465,769572
77616722,473745.5802469136,769572
101091166,466884.8451178451,769572
147776732,219566.0,219566
127645514,216793.71284271285,769572
147654546,309819.8704318937,769572
147776989,219737.26470588235,238523
144534327,769572.0,769572
145854697,261994.85411390115,769572
36713931,367306.1022727273,769572
96563444,425255.8942901235,769572
116545129,95989.71428571429,134148
147723544,212774.5,267852
11566520,245357.17307692306,267852
87716489,202826.1709090909,769572
147067598,234320.86816999133,769572
134355602,210636.6633746001,769572
65436451,420375.2978567503,769572
147723592,199154.2807486631,769572
145400024,165380.09032258065,769572
147724037,769572.0,769572
145376857,232269.14285714287,267852
112112535,245633.40625,267852
147724018,769572.0,769572
147470150,323668.35844700946,769572
129199209,196693.39149420924,769572
147724510,769572.0,769572
147272051,159377.12776957164,769572
146033275,485655.2,769572
27918930,190730.4951232033,769572
113270299,148323.1690140845,267852
147724679,769572.0,769572
143147734,217998.5176385889,769572
13861511,415357.64395904436,769572
122138404,769572.0,769572
93055812,467934.263546798,769572
147137732,155566.98611111112,267852
147762749,769572.0,769572
131243272,769572.0,769572
6589414,187266.34485094852,769572
147762785,769572.0,769572
135072009,769572.0,769572
147749492,118029.1724137931,250168
147763088,264904.6666666667,267852
129553461,343603.329787234,769572
142819103,252706.2986230637,769572
143104216,167796.33333333334,233998
15807092,365109.4128440367,769572
135819876,155569.63333333333,238523
147763355,232044.92771084336,267852
146717132,438705.0344827586,769572
145601615,769572.0,769572
147759061,193746.0,769572
134652910,194833.82545454544,769572
145785252,567163.1475916924,769572
139064034,415457.75,769572
145134040,259171.8153846154,769572
147935516,769572.0,769572
128083762,177939.89024,769572
88555649,234253.87627365356,769572
147935854,769572.0,769572
147935422,417940.06,769572
141348317,178893.74265734266,769572
147022374,424969.39083557954,769572
124529585,363972.0045248869,769572
125793922,406408.96505596506,769572
148001527,769572.0,769572
111949237,138913.74175409722,769572
147017011,500492.6255144033,769572
143247812,417947.09442262375,769572
134061911,238004.5574229692,769572
147941579,769572.0,769572
148001806,134564.0,134564
136771229,265005.1594620557,769572
142890044,405678.4023668639,769572
143042639,769572.0,769572
147328914,155204.79487179487,250168
119899053,735498.5629290618,769572
137452727,160200.28061062229,769572
113862835,459030.5164319249,769572
145839729,247761.66666666666,769572
139201590,204451.2418772563,769572
147124535,769572.0,769572
147923484,625499.2914012739,769572
138936558,194985.4876126126,769572
123925893,193730.7205882353,769572
142012066,198182.57286329166,769572
144175753,256887.5830753354,769572
125821184,169192.0118945747,769572
147700247,183861.4825986079,769572
147926996,210264.40119760478,769572
138092321,213384.15246636773,769572
132166310,246475.69872895913,769572
147454797,167319.88888888888,267852
146742438,160347.69722150092,769572
145806380,251059.6752033745,769572
147937624,769572.0,769572
147576694,452458.59272540984,769572
131044761,126008.53826199741,769572
147937694,504047.5,769572
146771366,206744.1954887218,769572
147925757,769572.0,769572
90873410,204244.88388625594,769572
147363628,476488.3333333333,769572
144209494,223802.69787234042,769572
130997716,187674.54545454544,267852
123023394,221046.13525026623,769572
30971277,337837.0076190476,769572
