TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,COLUMN_TYPE,IS_NULLABLE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacketSetup,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacketSetup,id,3,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacketSetup,agent_id,4,varchar,varchar(65533),YES,source_type=int(11); 代理id
ods_mariadb_2b,ods_a168_RedPacketSetup,status,5,varchar,varchar(65533),YES,"source_type=tinyint(1); 活动状态:0:关闭,1:开启"
ods_mariadb_2b,ods_a168_RedPacketSetup,start_time,6,varchar,varchar(65533),YES,source_type=datetime; 開始活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,end_time,7,varchar,varchar(65533),YES,source_type=datetime; 結束活动时间
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money_updating,8,varchar,varchar(65533),YES,source_type=tinyint(1); 紅包雨更新鎖
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money,9,varchar,varchar(65533),YES,source_type=int(11); 紅包雨總金額
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_from,10,varchar,varchar(65533),YES,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_to,11,varchar,varchar(65533),YES,source_type=int(11); 單次紅包雨總金額範圍
ods_mariadb_2b,ods_a168_RedPacketSetup,single_interval,12,varchar,varchar(65533),YES,"source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔"
ods_mariadb_2b,ods_a168_RedPacketSetup,single_available_times,13,varchar,varchar(65533),YES,source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex)
