column_name,data_type,ordinal_position
__source_pk,varchar,1
dt,date,2
bet01,varchar,3
bet02,varchar,4
bet03,varchar,5
bet04,varchar,6
bet05,varchar,7
bet06,varchar,8
bet07,varchar,9
bet08,varchar,10
bet09,varchar,11
bet10,varchar,12
bet11,varchar,13
bet12,varchar,14
bet12a,varchar,15
bet13,varchar,16
bet14,varchar,17
bet15,varchar,18
bet16,varchar,19
bet17,varchar,20
bet18,varchar,21
bet19,varchar,22
bet20,varchar,23
bet21,varchar,24
bet22,varchar,25
bet23,varchar,26
bet24,varchar,27
bet25,varchar,28
bet26,varchar,29
bet27,varchar,30
bet28,varchar,31
bet29,varchar,32
bet30,varchar,33
bet31,varchar,34
bet32,varchar,35
bet33,varchar,36
bet34,varchar,37
bet35,varchar,38
bet36,varchar,39
bet37,varchar,40
bet38,varchar,41
bet39,varchar,42
bet40,varchar,43
bet41,varchar,44
betwalletid,varchar,45
resultwalletid,varchar,46
validbet,varchar,47
gametype,varchar,48
commission,varchar,49
category,varchar,50
eid,varchar,51
serid,varchar,52
ip,varchar,53
updatetime,varchar,54
source_db,varchar,55
source_table,varchar,56
ods_table_name,varchar,57
sync_time,datetime,58
