TABLE_NAME,column_count
ods_a168_RedPacketSetup,26
ods_a168_RedPacketSetup_setting,16
ods_a168_RedPacket_No,7
ods_a168_RedPacket_Order,20
ods_a168_SMR_log,13
ods_a168_age_login,13
ods_a168_age_sub_login,13
ods_a168_agent,51
ods_a168_agent_bak20250610,51
ods_a168_agent_dtl,22
ods_a168_agent_dtl_test,22
ods_a168_agent_elec,11
ods_a168_agent_partner_gamelist,11
ods_a168_agent_permissionrole,15
ods_a168_agent_sub,22
ods_a168_agent_test,49
ods_a168_agents_LoginPass,28
ods_a168_aggregate_setting,14
ods_a168_aggregate_token,11
ods_a168_aggregate_transaction,22
ods_a168_aisetting,9
ods_a168_alarmMessage,14
ods_a168_alertMessage,13
ods_a168_alert_ip_setting,11
ods_a168_apiurl,9
ods_a168_ban_bet_area,11
ods_a168_bet,60
ods_a168_bet01,49
ods_a168_bet02,58
ods_a168_bet_No,7
ods_a168_bet_limit_default,24
ods_a168_bet_partner,15
ods_a168_betchange_log,18
ods_a168_category,33
ods_a168_categoryLevel,21
ods_a168_change_log,14
ods_a168_close_tip_list,7
ods_a168_control,19
ods_a168_control_login,13
ods_a168_conversion,21
ods_a168_ctl_rto,9
ods_a168_currency,14
ods_a168_dailyreport,34
ods_a168_dailyreport2,35
ods_a168_dailyreport_member,35
ods_a168_dailyreport_table,23
ods_a168_dailyreport_usercount,12
ods_a168_emp_login,12
ods_a168_employee,24
ods_a168_func_counter,10
ods_a168_game_No,10
ods_a168_game_callwebapi,13
ods_a168_game_demoipsetting,10
ods_a168_game_info,23
ods_a168_game_info_verify,13
ods_a168_game_log,26
ods_a168_game_parame,10
ods_a168_game_result,11
ods_a168_game_statistics,11
ods_a168_game_tip,8
ods_a168_game_transfer,12
ods_a168_game_type,28
ods_a168_in_out_m,16
ods_a168_in_out_m_chip,16
ods_a168_ipblacklist,12
ods_a168_iphistory,12
ods_a168_jackpot,17
ods_a168_keyserver_command,12
ods_a168_log_age_cash_change,19
ods_a168_log_mem_change,17
ods_a168_log_realtimebet,12
ods_a168_mem_login,14
ods_a168_member,53
ods_a168_member_category,13
ods_a168_member_click_counter,11
ods_a168_member_dtl,22
ods_a168_member_explosion_setting,13
ods_a168_member_odds,10
ods_a168_member_partner_account,12
ods_a168_member_partner_gamelist,11
ods_a168_member_url,12
ods_a168_news,14
ods_a168_odds_default,10
ods_a168_opengame_log,9
ods_a168_orderslist,9
ods_a168_partner_bng_token,10
ods_a168_partner_gamelist,37
ods_a168_partner_reportTime,11
ods_a168_partner_setting,15
ods_a168_partner_transation,22
ods_a168_partner_transation_log,9
ods_a168_partner_type,29
ods_a168_passiplist,10
ods_a168_payment_bank,11
ods_a168_payment_method,13
ods_a168_payment_order,23
ods_a168_payment_platform,22
ods_a168_payment_setting,26
ods_a168_payment_type,17
ods_a168_permissionrole,10
ods_a168_permissions,16
ods_a168_permissionsPage,12
ods_a168_permissionsPageRoles,10
ods_a168_permissionsgroup,13
ods_a168_play_set,18
ods_a168_realtimebet,18
ods_a168_realtimelobby,12
ods_a168_realtimelog,15
ods_a168_risklist,9
ods_a168_roles,10
ods_a168_shuffle_gid,8
ods_a168_shuffle_info,34
ods_a168_site,8
ods_a168_sms_setting,19
ods_a168_stream,9
ods_a168_subagent_permissionrole,15
ods_a168_symbol,11
ods_a168_tablelimit,31
ods_a168_tablelimit_third,19
ods_a168_temp_id_list,7
ods_a168_tip,10
ods_a168_urllist,23
ods_a168_wallet_dtl,20
ods_a168_wallet_feedbackerr,15
ods_a168_wallet_reporter,17
ods_a168_wallet_reporter_copy,17
ods_a168_wechat_url,10
ods_a168_white_list,15
sync_checkpoint,13
