uid,bet01_笔数,bet01_投注额,daily_笔数_跨产品汇总,daily_金额_跨产品汇总,当天涉及产品数,笔数倍差_修正后
151084641,2,2001.52,56,51375.0000,1,28.0
123707739,6,2449.2,166,8497.0000,1,27.67
153091336,2,183.34,54,36051.0000,1,27.0
129139771,1,150.46,27,14335.0000,1,27.0
134521342,7,1184.89,187,20076.0000,1,26.71
41746879,3,2403.55,80,3282.0000,1,26.67
150364708,4,250.01999999999998,106,8662.0000,1,26.5
124013673,4,2753.6000000000004,105,162900.0000,1,26.25
151398759,39,29465.54,1020,343798.0000,1,26.15
148318825,73,6525.29,1903,189102.0000,1,26.07
150635893,1,20.1,26,649.0000,1,26.0
151293681,3,91.19999999999999,78,2192.0000,1,26.0
151861162,1,19.36,26,6969.0000,1,26.0
144541476,2,700.74,52,7800.0000,1,26.0
153110183,2,903.96,52,21141.0000,1,26.0
141748961,2,30008.0,52,1670000.0000,2,26.0
151919793,3,164.72639999999998,78,58949.0000,1,26.0
148529448,1,137.6,25,23990.0000,1,25.0
142710508,1,45.1,25,1475.0000,1,25.0
152016673,1,6052.57,25,5460.0000,1,25.0
152519803,21,64758.460000000014,522,992.0000,1,24.86
37687359,3,210001.05000000002,72,4882838.0000,1,24.0
130244908,2,889.4000000000001,48,127631.0000,2,24.0
148417220,2,93.22999999999999,48,3309.0000,1,24.0
148606475,1,41.0,24,9411.0000,1,24.0
152724192,18,10935.18,428,13018.0000,1,23.78
127859466,4,31.0,94,873.0000,1,23.5
153005889,4,941.44,93,31468.0000,1,23.25
116261894,4,409.62399999999997,93,1290.0000,1,23.25
133826212,1,26.25,23,1503.0000,1,23.0
128092932,45,15100.0,1020,104000.0000,1,22.67
142332598,2,549.94,45,2245.0000,1,22.5
151430449,2,111910.07999999999,45,4161139.0000,2,22.5
128985203,3,232.06,67,9212.0000,1,22.33
146161420,3,79.98,66,1223.0000,1,22.0
146012174,1,601.61,22,4158.0000,1,22.0
152646436,1,154.82,22,19170.0000,1,22.0
152686969,1,48.391,22,2152.0000,1,22.0
138106482,1,13.79,22,2316.0000,1,22.0
118152216,17,219.20999999999998,369,3150.0000,1,21.71
127204811,2,4364.84,43,960.0000,1,21.5
145217254,2,566.04,43,31308.0000,1,21.5
153110502,21,26234.44,451,4540.0000,7,21.48
148399258,2,135.74,42,33822.0000,1,21.0
148372725,1,25.04,21,868.0000,2,21.0
134319138,1,110.35,21,2430.0000,1,21.0
33814355,1,351.06,21,3791.0000,1,21.0
151227071,2,50.0,42,700.0000,1,21.0
99766407,1,738.1,21,9250.0000,1,21.0
79777867,2,257.7,42,12578.0000,1,21.0
149352939,1,101.35,21,8854.0000,1,21.0
148601680,4,724.5200000000001,83,8851.0000,1,20.75
143662563,4,16005.52,83,53059.0000,1,20.75
135611159,21,6206.570000000001,433,38894.0000,1,20.62
146429542,2,64.2838,41,1484.0000,1,20.5
151904236,2,2796.0,41,4250.0000,1,20.5
114726551,11,2255.09,225,25044.0000,1,20.45
152547653,1,12.44,20,748.0000,1,20.0
142052979,1,31.9,20,1258.0000,1,20.0
145815627,1,37.94,20,29.0000,1,20.0
125948331,1,806.17,20,105815.0000,1,20.0
151559736,3,1565.06,58,12240.0000,3,19.33
126976131,1,19.89,19,4951.0000,1,19.0
142253186,3,596.71,57,3067.0000,1,19.0
147671484,1,1000.78,19,8768.0000,2,19.0
148416649,1,19.29,19,1141.0000,1,19.0
151524044,4,2596.1,75,262739.0000,1,18.75
142147596,11,5362.66,206,30464.0000,1,18.73
138057993,3,1260.6999999999998,56,5572.0000,2,18.67
150275335,5,3100.43,93,6147.0000,1,18.6
113558806,5,490.69000000000005,93,9678.0000,1,18.6
142011802,5,1205.4499999999998,93,7795.0000,1,18.6
152992380,10,3786.8,184,22086.0000,2,18.4
55614745,5,624.65,92,6463.0000,1,18.4
150532326,3,28.500000000000004,55,516.0000,1,18.33
153097696,1,127.6,18,554.0000,1,18.0
148076561,1,1521.18,18,20291.0000,1,18.0
149770296,1,1060.1442,18,16206.0000,1,18.0
146120975,2,189.78,36,40181.0000,1,18.0
127556113,1,5.831,18,1015.0000,1,18.0
152168922,1,25.45,18,1800.0000,1,18.0
97440741,2,4257.366,36,186600.0000,1,18.0
134729808,6,17721.38,107,54450.0000,1,17.83
125940163,3,321.70000000000005,53,855.0000,1,17.67
114464385,5,1646.45,88,11713.0000,1,17.6
143162680,3,1271.8200000000002,52,33281.0000,1,17.33
126359997,19,40350.57,329,12550.0000,1,17.32
150727146,1,18953.82,17,41782.0000,1,17.0
140674532,4,703.7364,68,39279.0000,1,17.0
146020434,1,64.14,17,1914.0000,1,17.0
6104426,2,1510.56,34,10980.0000,1,17.0
146220463,1,35.3,17,2657.0000,1,17.0
152666737,1,700.57,17,4470.0000,1,17.0
142901308,1,151.0,17,1990.0000,1,17.0
151955481,6,664.7,100,3155.0000,2,16.67
114601491,29,6758.270000000001,481,16000.0000,1,16.59
121496788,20,33080.0,330,79674.0000,1,16.5
131361110,2,92.9,33,1060.0000,2,16.5
123368347,3,551.47,49,6779.0000,2,16.33
150264844,3,134.584,49,2240.0000,1,16.33
135924887,18,61613.53999999999,293,31770.0000,1,16.28
119545794,11,1406.27,179,3623.0000,1,16.27
142009279,8,2674.33,130,99598.0000,2,16.25
30952831,4,326.238,65,1466.0000,1,16.25
148405020,1,17.15,16,485.0000,1,16.0
139126103,6,574.2777,96,3125.0000,1,16.0
153102879,2,110.5638,32,1651.0000,1,16.0
152906025,1,16.76,16,3483.0000,1,16.0
146103365,1,12.75,16,327.0000,1,16.0
153100286,1,20.15,16,769.0000,1,16.0
133623466,2,120.68,32,3758.0000,1,16.0
152712530,8,690.3199999999999,126,4573.0000,1,15.75
149055107,2,320.24,31,9545.0000,1,15.5
21712495,13,14427.35,200,318213.0000,1,15.38
149375732,13,6951.75,195,15955.0000,1,15.0
112526410,1,1.45,15,335.0000,1,15.0
147175655,1,19283.84,15,18650.0000,1,15.0
128881431,1,10.44,15,444.0000,1,15.0
135655368,1,26.54,15,6875.0000,1,15.0
149512898,1,39.77,15,462.0000,1,15.0
152261873,1,300.4644,15,3000.0000,1,15.0
150327681,4,228.76,60,2296.0000,1,15.0
151029433,8,437153.43999999994,117,6512558.0000,1,14.63
152928777,7,7109.85,102,109992.0000,1,14.57
114287246,2,54.44,29,635.0000,1,14.5
12960716,2,7950.8,29,11997.0000,1,14.5
114194992,9,51140.54,128,14746.0000,1,14.22
142076023,8,484.0,113,5620.0000,1,14.13
146593099,1,11.49,14,800.0000,1,14.0
152486372,2,62.15,28,1594.0000,1,14.0
125168512,3,644.1899999999999,42,16692.0000,1,14.0
146573830,2,158.86,28,5337.0000,1,14.0
111470508,2,20922.86,28,9200.0000,1,14.0
152727090,1,41.87,14,520.0000,1,14.0
106867015,1,24.0,14,967.0000,1,14.0
125767670,13,315.36570000000006,179,4802.0000,1,13.77
142969675,2,198.75,27,2210.0000,1,13.5
149993668,2,92.42,27,2059.0000,2,13.5
110671598,2,3254.8,27,369225.0000,1,13.5
148743547,6,1564.1600000000003,81,4951.0000,1,13.5
140529858,11,6123.1993,147,7397.0000,1,13.36
130645023,3,750.62,40,12453.0000,1,13.33
138898511,14,3101.7999999999997,186,28423.0000,4,13.29
151501394,5,970.2,66,6737.0000,2,13.2
149947041,6,5621.75,79,7729.0000,1,13.17
121607664,8,557.6400000000001,105,6240.0000,1,13.13
111460110,63,354805.36,825,763251.0000,1,13.1
153085924,2,36.0,26,314.0000,1,13.0
152609672,2,356.5,26,40000.0000,1,13.0
142035774,1,324.65,13,146.0000,1,13.0
36119449,1,4.0,13,5903.0000,2,13.0
127175536,1,2812.53,13,1840.0000,1,13.0
66064746,1,200.27,13,822.0000,1,13.0
150698874,3,63.290000000000006,39,2125.0000,1,13.0
145436608,5,1035.0,65,5690.0000,1,13.0
149449411,1,46.2,13,1547.0000,1,13.0
128173476,5,751.317,65,1833.0000,1,13.0
152560002,37,112704.58,480,296836.0000,3,12.97
76414768,130,6233.700000000003,1659,7700.0000,1,12.76
92247060,12,19076.2,151,6536.0000,1,12.58
146107059,2,42.0,25,172.0000,1,12.5
107803365,2,659.88,25,3402.0000,1,12.5
123521230,9,1142909.0,112,1035000.0000,1,12.44
112915005,24,12482.8,297,10185.0000,1,12.38
151732487,3,445.0,37,1850.0000,1,12.33
108806525,10,1606.86,123,15434.0000,1,12.3
151991502,4,7488.76,49,14297.0000,1,12.25
147814571,60,24261.72,724,28781.0000,1,12.07
152491984,2,27.94,24,270.0000,1,12.0
69796682,21,34058249.04000001,252,129884381.0000,1,12.0
69756054,13,743.73,156,1960.0000,1,12.0
141397048,1,49.93,12,567.0000,1,12.0
151715069,1,224.9,12,587.0000,1,12.0
153109505,1,101.56,12,660.0000,1,12.0
65556447,29,4300.160000000001,348,21263.0000,1,12.0
94790939,1,300.98,12,613.0000,1,12.0
122759519,2,934.6400000000001,24,2706.0000,1,12.0
53050669,2,1000.067,24,16736.0000,1,12.0
152134211,2,1026.3918,24,6680.0000,1,12.0
144295481,2,1357.34,24,4830.0000,1,12.0
136529706,7,2153.9500000000003,83,31496.0000,1,11.86
152103543,7,2695.1500000000005,83,22444.0000,1,11.86
122551676,6,343.65000000000003,71,152085.0000,1,11.83
143828492,5,413.45,59,25723.0000,1,11.8
69117044,5,3050.9500000000003,59,22659.0000,1,11.8
146463225,4,2651.9532,47,15849.0000,1,11.75
23849889,3,1632.0181,35,35055.0000,1,11.67
20894131,3,1501.32,35,4923.0000,1,11.67
117972216,47,21695.239999999998,546,19064.0000,1,11.62
147431522,21,1906.93,242,4305.0000,1,11.52
139373935,2,52.66,23,1041.0000,3,11.5
108568991,16,95009.5136,184,45816.0000,1,11.5
148737355,6,1472.44,68,6708.0000,1,11.33
