__source_pk,dt,eid,sid,logintime,loginip,status,remark,source_db,source_table,ods_table_name,sync_time
89f0fd5c927d466d6ec9a21b9ac34ffa,2018-07-31,325,5236E9B1I1D20182A1685,2018-07-31 11:02:53,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
45c48cce2e2d7fbdea1afc51c7c6ad26,2016-09-01,9,90E861A7I3F9D7I156787,2016-09-01 16:08:49,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
f2fc990265c712c49d51a18a32b39f0c,2018-07-30,324,4239F7A8C20169A168E63,2018-07-30 10:01:13,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
c4ca4238a0b923820dcc509a6f75849b,2016-12-21,1,16E8617B6G9E8C84235A6,2016-12-21 13:48:17,124.109.17.35,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
432aca3a1e345e339f35a30c8f65edce,2019-03-18,318,81369I1B9F30733A168E4,2019-03-18 06:11:28,103.30.197.212,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
eccbc87e4b5ce2fe28308fd9f2a7baf3,2018-11-22,3,30E8617I9G3E2H70431A6,2018-11-22 14:45:05,211.75.195.55,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
5ef059938ba799aaa845e1c2e8a762bd,2016-07-18,118,8110E89C1C9F30143A166,2016-07-18 18:18:47,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
a666587afda6e89aec274a3657558a27,2018-08-01,326,6236E9I3B9H50533A1685,2018-08-01 17:54:41,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
1679091c5a880faf6fb5e6087eb1b2dc,2018-08-11,6,66E867H1F2F5D67408A15,2018-08-11 09:21:36,43.230.62.154,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
c81e728d9d4c2f636f067f89cc14862c,2016-07-27,2,26E8617C7A8C1A34682A6,2016-07-27 11:20:42,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
bc6dc48b743dc5d013b1abaebd2faed2,2018-08-04,323,32369D9C5A80527A168E4,2018-08-04 21:46:00,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
5b8add2a5d98b1a652ea7fd72d942dac,2019-03-31,317,71369D8D3F40388A168E4,2019-03-31 19:05:45,43.230.62.157,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
6f4922f45568161a8cdf4ad2299f6d23,2016-06-17,18,810E8B1I5H6F81418A1684,2016-06-17 16:54:26,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
38af86134b65d0f10fe33d30dd76442e,2019-02-19,176,6719I6A4E70268A168E63,2019-02-19 10:05:00,110.74.214.41,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
a87ff679a2f3e71d9181a67b7542122c,2016-08-30,4,40E8617H4G9D7F83768A6,2016-08-30 17:38:10,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
caf1a3dfb505ffed0d024130f58c5cfa,2018-08-08,321,1236E89A9G6A30792A166,2018-08-08 07:55:34,43.230.62.157,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
8d3bba7425e7c98c50f52ca1b52d3735,2019-01-30,319,9139F9C1A40283A168E63,2019-01-30 00:40:18,103.69.68.8,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
8f53295a73878494e9bc8dd6c3c7104f,2020-07-06,179,979D4H3A50046A168E612,2020-07-06 16:09:45,,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
96da2f590cd7246bbde0051047b0d6f7,2020-07-06,177,779A3A6A80257A168E612,2020-07-06 16:12:05,,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
320722549d1751cf3f247855f937b982,2018-07-19,320,02369E7C8C90256A168E4,2018-07-19 13:42:08,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
5f93f983524def3dca464469d2cf9f3e,2016-07-05,110,01109A9H1C70734A168E4,2016-07-05 14:08:45,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
f033ab37c30201f73f142449d037028d,2016-07-04,80,088C8E1A4A24631A168E02,2016-07-04 12:27:16,118.170.46.111,0,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
c9f0f895fb98ab9159f51fd0297e236d,2016-08-29,8,86E861A7D6D5E4G520887,2016-08-29 13:33:51,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
e4da3b7fbbce2345d7772b0674a318d5,2016-07-25,5,50E8617C3C4B2H80100A6,2016-07-25 14:21:54,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19 18:41:02
