__source_pk,dt,id,code,name,url,queryURL,return_url,notice_url,type,status,remark,build_time,op_utp,op_level,op_mid,op_time,op_ip,source_db,source_table,ods_table_name,sync_time
c4ca4238a0b923820dcc509a6f75849b,2019-12-31,1,6001,盛欣支付,https://apilive.shengxingpay.com/Merchant/{url},https://apilive.shengxingpay.com/Merchant/OrderQuery,https://api3rd.a45.me/callback/6001/front,https://api3rd.a45.me/api/callback/6001/deposit.php,1,1,__STARROCKS_NULL__,2019-12-31 06:00:01,,0,0,__STARROCKS_NULL__,,a168,payment_platform,ods_a168_payment_platform,2026-05-19 18:57:08
c81e728d9d4c2f636f067f89cc14862c,2019-12-31,2,6002,快樂付,http://khgri4829.com:6084/api/pay/V2,http://ailefupay.cc:8084/api/defray/queryV2,https://api3rd.a45.me/callback/6002/front,https://api3rd.a45.me/api/callback/6002/deposit.php,1,1,__STARROCKS_NULL__,2019-12-31 06:00:01,,0,0,__STARROCKS_NULL__,,a168,payment_platform,ods_a168_payment_platform,2026-05-19 18:57:08
eccbc87e4b5ce2fe28308fd9f2a7baf3,2019-12-31,3,6003,豪匯 honor pay,https://www.honor5858.com/api/pay_qr,https://www.honor5858.com/api/pay_status,https://api3rd.a45.me/callback/6003/front,https://api3rd.a45.me/api/callback/6003/deposit.php,1,1,__STARROCKS_NULL__,2019-12-31 06:00:01,,0,0,__STARROCKS_NULL__,,a168,payment_platform,ods_a168_payment_platform,2026-05-19 18:57:08
