__source_pk,dt,sn,gid,tableid,people,setting_time,editor,modif_time,source_db,source_table,ods_table_name,sync_time
02e74f10e0327ad868d138f2b4fdd6f0,2021-06-23,27,105,1,30,3,92,2021-06-23 15:04:12,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
3c59dc048e8850243be8079a5c74d079,2021-06-23,21,101,6,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
735b90b4568125ed6c3f678819b6e058,2021-06-23,67,101,503,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a5bfc9e07964f8dddeb95fc584cd965d,2021-06-23,37,101,35,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
b6d767d2f8ed5d21a44b0e5886680cb9,2021-06-23,22,101,7,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
182be0c5cdcd5072bb1864cdee4d3d6e,2023-10-13,33,108,1,15,0,249,2023-10-13 02:57:06,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
2838023a778dfaecdc212708f721b788,2021-06-23,51,101,105,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
3295c76acbf4caaed33c36b1b5fc2cb1,2021-06-23,66,101,502,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
32bb90e8976aab5298d5da10fe66f21d,2021-06-23,72,101,112,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
72b32a1f754ba1c09b3695e0cb6cde7f,2021-06-23,57,101,201,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
9a1158154dfa42caddbd0694a4e9bdc8,2021-06-23,52,101,106,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a3f390d88e4c41f2747bfa2f1b5f87db,2021-06-23,68,101,505,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d82c8d1619ad8176d665453cfb2e55f0,2021-06-23,53,101,51,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
072b030ba126b2f4b2374f342be9ed44,2021-06-23,60,101,205,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
44f683a84163b3523afe57c2e008bc8c,2021-06-23,62,101,342,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
642e92efb79421734881b53e1e1b18b6,2021-06-23,48,113,1,30,3,92,2021-06-23 15:07:35,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
7f39f8317fbdb1988ef4c628eba02591,2021-06-23,61,101,341,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
9f61408e3afb633e50cdf1b20de6f466,2021-06-23,56,101,109,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c16a5320fa475530d9583c34fd356ef5,2021-06-23,31,106,1,30,3,92,2021-06-23 15:05:31,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c51ce410c124a10e0db5e4b97fc2af39,2021-06-23,13,113,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d3d9446802a44259755d38e6d163e820,2021-06-23,10,110,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d645920e395fedad7bbbed0eca3fe2e0,2021-06-23,40,101,31,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
ea5d2f1c4608232e07d3aa3d998e5135,2021-06-23,64,108,5,40,3,92,2021-06-23 19:17:51,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
1c383cd30b7c298ab50293adfecb7b18,2021-10-14,35,111,1,10,1,250,2021-10-14 18:04:58,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a1d0c6e83f027327d8461063f4ac58a6,2021-10-15,42,102,31,30,3,92,2021-10-15 10:00:57,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
6c8349cc7260ae62e3b1396831a8398f,2021-06-23,45,112,1,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
8f14e45fceea167a5a36dedd4bea2543,2021-06-23,7,107,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a5771bce93e200c36f7cd9dfd0e5deaa,2021-06-23,38,101,32,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a87ff679a2f3e71d9181a67b7542122c,2021-06-23,4,104,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c4ca4238a0b923820dcc509a6f75849b,2021-06-23,1,101,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d9d4f495e875a2e075a1a4a6e1b9770f,2021-06-23,46,101,37,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
fc490ca45c00b1249bbe3554a4fdf6fb,2021-06-23,65,101,501,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
6364d3f0f495b6ab9dcf8d3b5c6e0b01,2021-07-01,32,107,1,30,1,250,2021-07-01 22:20:42,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
1ff1de774005f8da13f42943881c655f,2021-06-24,24,102,1,50,3,92,2021-06-24 17:13:46,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
6512bd43d9caa6e02c990b0a82652dca,2021-10-14,11,111,0,20,1,250,2021-10-14 18:07:16,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
f7177163c833dff4b38fc8d2872f1ec6,2021-10-14,44,111,31,10,1,250,2021-10-14 18:05:25,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
67c6a1e7ce56d3d6fa748ab6d9af3fd7,2021-11-03,47,101,101,200,1,243,2021-11-03 11:57:07,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
1679091c5a880faf6fb5e6087eb1b2dc,2021-06-23,6,106,0,0,0,92,2021-06-23 15:05:15,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
