__source_pk,dt,roleid,permissionid,status,lastmodifytime,source_db,source_table,ods_table_name,sync_time
3701c01dcb92ae6b0e970f61e2ae46cb,2021-03-27,13,50,1,2021-03-27 19:43:33,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
39bb6a473dbd1295bf9dcd39b4bb8845,2025-04-02,39,77,1,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
880fd6935d72acff7327afb5acdca9ca,2025-04-02,39,90,1,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a9cac6502c1cd429854b6dfbd2656d57,2025-04-02,39,131,1,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b56ec7180795889ca3b7fe6525bd49d3,2025-04-02,39,20,0,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
ca394d46e1dd8e0f6dcaf445c4e2b61e,2025-04-02,39,129,1,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f618037dc22fc0c26837fcf50c7ea823,2025-04-02,39,133,1,2025-04-02 20:21:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
21500935ea3a6b02ff33026a4d27f6c0,2025-07-31,22,39,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
2e83783243f2375d952443b123464664,2025-07-31,22,89,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
ab8bf3d828f7edcdb75ced529d9ba926,2025-07-31,22,72,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
cb42609e2f2291fc83d5a1fabd62dfa5,2025-07-31,22,71,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
