dt,ggr,vbet,hold
2026-03-21,-159749.476,8496832.5934,-0.0188010619538494
2026-03-22,-2171815.5169,80247612.9474,-0.0270639267279335
2026-03-23,-1494226.7105,74885771.517,-0.0199534127809686
2026-03-24,-1904373.2021,84074578.7317,-0.0226509990395226
2026-03-25,-1632255.47,82704087.8236,-0.0197360918057817
2026-03-26,-1268005.4169,87327067.0999,-0.0145201878296157
2026-03-27,-1873617.2338,86278537.247,-0.0217159132918094
2026-03-28,-1777072.2841,96480481.8343,-0.0184189822678542
2026-03-29,-910078.0835,72077658.4419,-0.0126263547286791
2026-03-30,-2619502.341,89400650.7297,-0.0293007077646446
2026-03-31,-1965789.3376,93757111.3422,-0.020966829176564
2026-04-01,-2555212.3761,93996910.0337,-0.0271840039761296
2026-04-02,-998131.3807,88945564.4849,-0.0112218229934271
2026-04-03,-2735519.6736,93177862.4122,-0.0293580428095529
2026-04-04,-1606410.3073,85675640.9803,-0.0187499070788321
2026-04-05,-1620587.5378,69103689.1558,-0.0234515343189023
2026-04-06,-2015647.669,83811942.4963,-0.024049647448381
2026-04-07,-1151711.1618,90577685.5575,-0.0127151754288188
2026-04-08,-2955878.2824,106680347.7734,-0.0277078050840122
2026-04-09,-1716129.5179,97553590.1277,-0.0175916592680346
2026-04-10,-835567.5997,107782774.9432,-0.00775232962911126
2026-04-11,-1425552.8316,93371555.9186,-0.0152675278630119
2026-04-12,-750781.6805,75224728.3106,-0.00998051701031144
2026-04-13,-2001721.5135,75520607.5812,-0.0265056330664149
2026-04-14,-2394114.6631,95212835.3755,-0.0251448731009648
2026-04-15,-2104209.967,94548981.1454,-0.0222552368254935
2026-04-16,-2239228.6175,86793876.0414,-0.0257993849293227
2026-04-17,-1443110.7706,78714026.6241,-0.0183335910064873
2026-04-18,-1015462.0237,90166483.8988,-0.011262078543949
2026-04-19,-2251101.8461,68332134.0177,-0.0329435320359949
2026-04-20,15827.3763,64161190.6363,0.000246681461846898
2026-04-21,-862691.5234,92126082.7028,-0.0093642484092486
2026-04-22,-1845488.3456,74298154.7828,-0.0248389526091869
2026-04-23,-1500969.2492,78474347.5188,-0.0191268777206515
2026-04-24,-1423337.7195,80002912.3897,-0.0177910738119985
2026-04-25,-1644114.6775,84697867.8418,-0.0194115238009403
2026-04-26,-1010995.3237,73663675.7941,-0.013724475636077
2026-04-27,-1489912.9333,78471356.7537,-0.0189867105009593
2026-04-28,-1702746.2954,90658511.7265,-0.0187819793527702
2026-04-29,-1627413.3814,102598661.5178,-0.0158619357925801
2026-04-30,-1453567.5524,98619822.8641,-0.0147391012292026
2026-05-01,-1310557.1101,85721513.1182,-0.0152885438255493
2026-05-02,-2409557.0736,90541184.9543,-0.0266128290105349
2026-05-03,-1083186.4096,74632799.7599,-0.0145135438183306
2026-05-04,-2618629.0231,95277468.0672,-0.0274842423525892
