subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
103.199.33.0/24,248,6685,40,315690,23600294.7809565959,-485369.3057246388,21430014.7767239494
103.199.32.0/24,248,6655,43,326664,23206247.6273533451,-184493.5569827326,20957483.1030573149
49.48.233.0/24,256,5944,49,525168,20658293.2483199029,-591749.8520696203,18617484.5539376174
103.199.56.0/24,246,5697,38,243732,14028962.4299438499,-282244.2525729760,12696317.9046103229
103.199.57.0/24,232,5374,36,238362,14404783.3754232411,-256504.7118864429,12990060.3927847150
49.49.225.0/24,256,4144,43,259445,10371094.3784613127,-336981.1801161669,9385782.5314568856
42.113.203.0/24,253,3639,34,160159,8443561.8822435209,-215767.8668974375,7642329.3044217438
42.114.44.0/24,253,3553,34,133167,8339346.8190023716,-210588.1401269235,7569854.9130135923
42.113.248.0/24,253,3143,30,110682,5684630.1130314615,-94925.5976851049,5158298.5427762528
42.113.201.0/24,253,3039,36,97975,6941320.8981058400,-20247.9142127471,6280281.0737149917
103.199.69.0/24,246,2732,31,114266,6709574.1293370856,-267716.8757709511,6034230.8861084939
103.199.71.0/24,246,2698,36,94203,5863312.5967472888,-151866.7751367460,5307939.8493979867
103.199.70.0/24,246,2674,33,101976,6303353.6108721200,-38939.8097241271,5714343.4460557418
113.185.73.0/24,256,2661,38,96778,8797037.7524416935,128144.7200381572,7955386.7810105935
103.199.68.0/24,246,2654,36,106215,6773260.4364125305,-143211.1498830623,6139726.7630165765
113.185.72.0/24,256,2647,37,97819,8420413.1756863628,-144489.8224289449,7612678.2823040627
113.185.75.0/24,256,2621,33,87795,6694562.7739046791,-78495.9270245266,6006493.2837607062
113.185.74.0/24,256,2614,34,91492,8197497.0606839386,-143845.9213585851,7418644.3869319755
113.185.77.0/24,256,2613,33,93175,8192421.2271024906,-283206.7914522490,7432633.3669728300
113.185.78.0/24,256,2582,36,101171,7591660.3468720047,-99926.4664821204,6881395.3240050258
113.185.76.0/24,256,2562,37,95220,7950080.0278535617,-210959.5575174504,7222102.0242226850
113.185.79.0/24,256,2527,35,89774,6434521.7129668043,-91000.6548822394,5805817.1379807078
27.65.21.0/24,256,2413,27,65639,5517636.7840755879,-48477.2811251435,4965143.2903990847
171.253.136.0/24,255,2393,27,63266,5321040.7656377373,-71520.6857894414,4837696.0738240423
171.253.138.0/24,256,2382,31,59015,6160643.6140655905,-85664.6538492542,5520946.0657724025
27.65.23.0/24,255,2367,27,58415,4909995.9365740985,-22473.0254936931,4455640.0470120281
171.255.60.0/24,255,2310,26,59061,6126384.3638332038,-207267.6026893999,5491679.1191410584
171.253.139.0/24,255,2280,28,64929,5583888.5650492223,-217773.6150447750,5160460.3271272848
171.255.61.0/24,255,2278,32,58728,7685129.4028494565,-76666.7250276943,6902263.2786938730
27.65.20.0/24,255,2275,32,65246,5709900.2979047160,-85129.4459243984,5185173.8204178549
113.185.46.0/24,256,2271,32,82695,12480454.9103531904,4360.7976843132,9541137.4436836927
113.185.44.0/24,256,2261,34,87166,10321640.3320733698,-25752.7196370223,9338633.6940307664
27.65.22.0/24,256,2259,29,60767,5863027.8136085141,-104231.0103998636,5344027.4208966262
103.199.43.0/24,246,2253,36,79626,5957622.4530789209,-63380.8438649035,5419133.4078847753
171.253.137.0/24,256,2244,27,61315,5088294.6123970152,-164994.5923983917,4613627.5515650513
113.185.47.0/24,256,2236,33,93163,11694162.4442363933,-344360.2805864678,10549336.2910644326
103.199.37.0/24,246,2210,32,71925,4794640.7637034956,-91451.0584950774,4335616.3125982809
113.185.45.0/24,256,2209,33,93388,10746734.6565771639,-302194.5663458495,9679223.6733169849
103.199.36.0/24,246,2165,32,77002,4931827.4090987499,20569.1513787935,4457180.1727608325
138.84.109.0/24,4,2145,1,4917,22354.3254921287,-1027.9738236998,19849.2557860379
103.199.41.0/24,246,2144,33,62501,5085080.2109511047,-141450.4983026070,4666052.1596872436
113.185.42.0/24,256,2135,35,79870,9682101.1623638996,-396142.2050154510,8690501.6138769928
103.199.40.0/24,246,2108,30,72667,5278365.7215408653,-25987.2509179573,4757790.2212261763
103.199.42.0/24,246,2088,33,67327,4246031.9093837291,-120643.9603147361,3810713.3394554947
171.251.152.0/24,255,2083,30,73707,8593138.8764848478,-88400.0945853039,7568170.9244786946
113.185.87.0/24,256,2062,33,71034,5978478.0657346020,-175043.4373908052,5400852.4926539731
171.255.185.0/24,256,2057,34,53341,3864637.3832668944,-126517.1364743616,3507078.9127695182
113.185.83.0/24,256,2055,32,92085,6168896.6310382921,-23129.1170371374,5584304.9880090886
113.185.82.0/24,255,2051,33,73156,6584384.6202969591,8933.7584309862,5951424.8353205894
113.185.81.0/24,255,2049,34,73191,6271431.0864086623,-174187.5321961766,5604475.7928347398
171.255.186.0/24,256,2048,29,51481,5514901.5973153627,-132759.6135642024,4974253.0804413022
171.253.156.0/24,255,2041,29,52968,3585093.1138350045,-1555.3445677258,3217235.0561736730
113.185.80.0/24,256,2036,37,72894,6479721.8600797452,-133632.6563470722,5873482.0932434207
171.253.249.0/24,256,2036,32,50752,4349103.5538107995,-120578.4506895594,3868194.2948405845
113.185.84.0/24,256,2029,34,69928,5323440.9457353603,-239022.2087595929,4810009.0787051601
171.253.251.0/24,255,2022,27,52176,5609799.1943461910,-45382.9268290506,5085558.9238034233
171.255.184.0/24,255,2005,27,55204,6755272.7493240456,-208941.6076747983,6126625.6580779673
171.253.250.0/24,256,1988,27,49583,4452750.1199549791,24060.5599380772,3972121.4813886144
171.253.248.0/24,255,1987,27,51088,4179360.8000665482,21503.3818645004,3763859.5777903647
171.253.214.0/24,255,1987,28,52434,3749390.0094025075,-66559.9753492097,3412831.5964206512
113.185.86.0/24,256,1983,35,80376,6923929.5894714770,-7533.0057519984,6292598.8734610528
171.255.187.0/24,255,1965,30,50266,4292240.4001608849,37461.8783956305,3877328.0488903328
113.185.41.0/24,256,1950,32,66932,10347108.8064838265,-83726.5299653672,8922313.5296986129
171.224.113.0/24,256,1939,31,52079,4889756.9497513193,-5472.2160232241,4390357.3847675331
171.253.157.0/24,256,1938,26,58582,4344498.7446894208,-148266.8674279677,3904205.0816089324
171.242.196.0/24,255,1937,29,72362,7440767.5495244406,-84072.2428218330,6753276.2988516760
171.253.159.0/24,255,1937,34,46350,4265736.8834936613,42228.6342925642,3870138.3927170609
125.235.190.0/24,255,1935,26,47982,5755217.2368858182,-119024.7120857948,5154185.6567324752
171.253.158.0/24,256,1928,32,53433,5496578.1121019942,-201794.6152657172,4951728.7152907281
104.28.166.0/24,28,1928,30,46347,11401799.9900340860,-284316.1150214042,10321876.2704565971
125.235.173.0/24,256,1925,29,51005,4162781.4850666555,-73050.2030007379,3739164.4409798798
125.235.188.0/24,255,1923,27,49518,5150235.7960652916,-35959.6498660900,4657253.0548334072
171.224.114.0/24,256,1902,30,49745,4395924.0706822369,-128780.7004312649,4016377.3416880240
125.235.191.0/24,255,1883,29,54281,8792447.6634767151,-230287.8875568057,7883595.8406671707
171.242.197.0/24,256,1880,32,59560,5971662.9794793480,-261293.5278246623,5336585.6223549459
171.254.201.0/24,255,1877,32,53351,5719870.7240004678,-146477.8349859134,5144688.8661949710
171.242.199.0/24,255,1872,28,55580,7149873.6251500331,-186152.4332038098,6357847.9946807619
171.253.215.0/24,255,1871,33,55511,5290517.9236697259,-31189.2939717257,4808954.3434305157
125.235.172.0/24,255,1870,29,55923,7440206.0702341600,-136340.7418017335,6686088.8697591308
125.235.189.0/24,255,1868,26,52700,3786073.7267670462,-106674.1827561604,3361442.9405451859
171.224.112.0/24,255,1865,30,47752,3924685.7592430000,-38143.6503857554,3533436.3300742938
125.235.174.0/24,256,1856,26,47072,3422608.4842302607,-624.4352092928,3081072.8119222380
171.242.198.0/24,256,1856,28,55152,4708052.1125521967,-77499.4328879961,4250180.1446618551
125.235.175.0/24,255,1851,28,54270,6016139.6737724152,-307210.2976118176,5488823.4155664225
49.237.17.0/24,248,1835,34,74939,6545122.9709302791,-209739.3867819086,5864713.9337160067
171.224.115.0/24,255,1833,29,51608,5446796.1439943108,-161315.5931097694,4944120.5696293748
49.237.21.0/24,248,1832,31,76364,3637394.1101592589,16083.2875829506,3293029.8121314354
171.251.153.0/24,255,1832,30,60997,11605495.9786382385,52136.2360688333,10337535.7898589654
49.237.43.0/24,254,1818,35,73741,4183466.3658423964,-176405.9212087663,3773045.5276062389
49.237.42.0/24,254,1816,34,81969,4049817.8575571145,-131071.7254325977,3657980.4438004416
49.237.22.0/24,248,1813,34,76407,5870768.4230501865,-262733.1889450847,5270719.6674931697
116.106.98.0/24,256,1811,30,52169,6607261.9621751134,-74333.6146064763,5883006.8611209126
49.237.18.0/24,247,1804,35,77616,7494813.5962052839,-610.5275962023,6727060.1165316250
113.185.85.0/24,256,1801,34,60989,5493530.4757111852,-200188.8266912172,4958006.1391008648
171.253.233.0/24,256,1784,27,55377,6577433.1219546427,-63195.7285654889,5939773.6417815707
49.237.16.0/24,248,1783,36,80392,5352227.5970564978,26806.4883054404,4730926.3608944561
49.237.19.0/24,248,1773,35,81436,5201913.7682548492,119864.3415506288,4634400.6207244128
171.255.57.0/24,255,1773,29,51668,5353643.8565592078,-61904.1145952929,4883656.7462948890
113.185.43.0/24,256,1772,31,60150,6710587.8085888531,-268895.4029504521,6045986.0605059348
49.237.40.0/24,254,1764,35,80700,3479488.7838638387,-110914.3537071843,3160727.2522347732
171.253.232.0/24,255,1762,29,53721,5416828.0959476225,-52597.4092333196,4913109.2922564142
171.254.200.0/24,255,1761,29,59562,7012228.7757308035,-239439.7545336058,6292408.9738747467
171.255.56.0/24,255,1753,30,56506,5578596.7296790388,-121671.1629076479,5035888.2998122094
49.237.20.0/24,248,1752,37,76280,8423219.1617926909,355927.2418517329,7714618.1434494958
116.106.99.0/24,255,1741,29,58989,5813405.0293686688,-176587.7401397237,5300494.3270139872
171.244.122.0/24,256,1739,29,46409,12816833.5888549286,-299881.3657833543,11457053.7564756016
171.244.120.0/24,255,1734,29,54301,8752665.0340120037,-155308.0871784913,7787611.6360668802
49.237.41.0/24,254,1730,34,79282,5362372.1365221969,-170577.7017446172,4836307.5183351303
116.106.96.0/24,255,1693,32,58652,6955379.0331215702,-299243.4751754036,6263015.8427689711
49.237.23.0/24,248,1676,37,70938,3994725.7288218518,9106.9636131483,3637370.0789417431
171.244.121.0/24,256,1659,28,56536,7014914.8300209514,-124117.3349681742,6310280.2552954920
116.106.97.0/24,256,1657,31,52459,4505571.2340695748,-240376.4413487625,4095386.5204728608
171.244.123.0/24,255,1640,27,51177,5200413.0184096787,-326456.5870011355,4738252.3981465176
49.230.146.0/24,256,1630,39,129678,5801971.7709927638,-87673.5907198826,5257741.0984340948
49.230.145.0/24,256,1624,32,142641,6735287.7821928809,-80247.9184306340,6035787.7182522593
49.230.53.0/24,256,1624,35,134756,6174259.0501790243,-123510.8044958841,5587553.7053313584
27.65.161.0/24,256,1608,31,50499,6433807.3216541980,-128300.8607267656,5760843.0314994365
49.230.144.0/24,256,1607,33,131598,6515114.2990856011,-78584.2296592927,5672529.5032549693
171.253.234.0/24,255,1532,24,46620,5829489.9507393111,60940.3142919826,5294917.7519013053
171.253.242.0/24,256,1523,31,48890,6801049.2327723828,5146.1507519515,6132570.2144373753
27.65.162.0/24,256,1512,29,42782,7856115.7928632954,-41751.6564603082,7083000.0231048437
171.253.243.0/24,255,1487,29,47020,7270428.9937735220,-169663.9918312717,6608313.7076678437
27.65.160.0/24,255,1481,30,46746,4216546.8584453560,-120402.5071493325,3749881.6321629373
27.65.163.0/24,255,1472,30,40974,6801162.0074458097,-312397.6611292150,6242714.5988686850
125.235.209.0/24,256,1466,26,38530,2857438.7688158497,-71431.5288364654,2589759.8955316236
171.253.241.0/24,256,1461,26,41280,6752642.7153482692,-292264.4154268248,6247866.2016738869
171.253.240.0/24,254,1450,28,47457,7036254.0568390183,-341077.8854308690,6347351.2066275067
125.235.208.0/24,254,1422,24,39598,2715977.6142059738,-40474.3999510778,2451057.9409983818
104.28.157.0/24,44,1403,41,38077,12018106.9256425684,-243277.4793232547,10875166.1732401968
49.229.229.0/24,256,1394,33,81460,3451209.2875520847,-5305.2422218374,3055104.4647439422
59.153.235.0/24,251,1385,34,99821,13773944.1965893340,-28254.8237975706,12389695.2994618342
49.229.231.0/24,255,1384,32,83047,3310936.4146692225,794.2763611747,3024476.2834019541
59.153.225.0/24,249,1382,33,88448,17559399.9495214945,-83114.9262705666,15933203.7314637624
59.153.240.0/24,251,1381,31,86343,9103786.6477721407,12675.8802438663,8175084.9690534716
59.153.228.0/24,251,1380,32,76025,8214781.5046980312,70005.6028816677,7411027.4504993365
171.253.177.0/24,255,1377,26,36291,2435895.9815350503,-61676.7408586159,2198333.3178069705
125.235.229.0/24,256,1374,24,140217,9484765.4804865762,-130047.2823362684,8531778.5579596862
171.253.180.0/24,256,1370,28,35064,3058837.7097230064,-57710.9644822058,2771829.2915147011
125.235.210.0/24,256,1363,29,37840,3826942.7047939111,4073.4901539202,3430143.8471140231
125.235.231.0/24,256,1353,22,148254,7318093.5988667746,-315808.5948785998,6586278.4421323525
171.225.192.0/24,255,1346,31,126336,6678071.3196159632,-145222.0613650169,6022888.9726776286
171.225.193.0/24,255,1342,29,136550,5701288.7499357765,-73408.2861401191,5085639.6453177908
49.229.228.0/24,256,1340,32,71354,2951491.2266357026,29254.8344627616,2522204.8880728749
125.235.211.0/24,256,1338,31,38605,3200313.1079767271,52306.7114701504,2887509.4141092910
49.229.230.0/24,256,1335,31,82085,4492951.1288320622,-169817.8653339541,4055635.0622390076
49.230.47.0/24,256,1334,29,90034,2930616.4422179935,10692.6284163482,2654450.9384943825
125.235.213.0/24,256,1332,23,34397,2734183.2391417667,-68270.3468472634,2478132.8854831575
171.253.178.0/24,256,1330,29,36805,2858926.3716742782,-133943.0896333471,2512610.4628296452
49.230.44.0/24,256,1329,31,84206,2946270.0314925568,5805.2539879258,2673076.2962128459
115.76.50.0/24,192,1317,27,107495,9562408.0494845451,3616.3745454889,8657271.3313978627
113.185.50.0/24,256,1312,28,42345,4629160.7731693031,-97482.7213612224,4176708.2831786687
103.249.22.0/24,224,1311,28,79256,4009290.4136328760,-30326.8148835501,3619220.1972675621
49.230.46.0/24,254,1309,30,77074,3496560.3455125891,-92305.0472556064,3186568.1422672443
125.235.212.0/24,255,1306,28,34670,2591838.9995079483,-47977.0104867576,2317479.7400231305
171.253.176.0/24,256,1305,28,35206,3093987.8193644502,-75117.3472909564,2777217.3097352129
49.230.45.0/24,256,1302,32,77163,2656300.8801265311,-51821.7728133077,2405980.1002025161
223.24.188.0/24,247,1300,34,50951,1319089.4995805644,-7537.3887941599,1186492.8291572727
171.253.179.0/24,256,1290,23,29733,3034778.3990918984,-84033.3499214823,2735055.0185202296
49.230.61.0/24,256,1287,33,66112,2858245.4011748621,-71803.0821593407,2524413.7456776656
171.253.181.0/24,256,1287,25,34694,3551826.1131173509,-59563.8533886134,3230196.4916352263
113.185.48.0/24,256,1285,29,47186,5901553.6451048707,-149418.0780696517,5308785.4157394906
113.185.54.0/24,256,1284,26,44443,4965580.0422554435,72552.9870976329,4446087.4320500219
223.24.61.0/24,248,1283,31,52886,1469200.7378539062,-12182.4828710642,1338886.0815974308
103.249.21.0/24,224,1278,28,75419,2768821.0417355337,-74900.0017864911,2477051.3901441062
49.230.57.0/24,256,1277,32,80989,3481209.4350845895,-126188.7047519231,3137103.4879196018
49.230.62.0/24,256,1272,31,75445,3278791.5777610932,-43624.9361735764,2967355.6608305293
115.76.51.0/24,192,1269,24,95541,5302187.2650034383,-105437.1842715452,4802045.4745776334
49.230.59.0/24,255,1268,33,80400,4015987.2285127927,-114314.4921776046,3580712.1678935456
223.24.94.0/24,248,1264,33,49702,1527411.7214486845,-22329.1552630194,1373635.6224712313
113.185.49.0/24,256,1259,26,45932,5642887.5450653893,-59616.8121856734,4889359.5254733729
113.185.51.0/24,256,1257,29,43144,5738368.3313251793,-96113.6135493083,5093983.1782930316
1.53.168.0/24,249,1255,32,53128,5364623.5267257565,32497.3526112349,4806100.0100573085
49.230.63.0/24,255,1251,32,74885,3291379.1133490233,-75072.3227741358,2958659.6958438080
113.185.55.0/24,256,1250,26,39874,5463368.9745045638,-188460.9352061564,4946432.6280205835
49.230.56.0/24,253,1248,32,66019,3326670.2075619840,-76410.2252874167,3003430.9941081632
113.185.53.0/24,256,1244,27,44685,5468408.6070882045,52071.5975243926,4919349.9130197626
49.230.60.0/24,256,1242,31,79304,3986821.1539550432,-137546.7050676786,3616703.7508634991
223.24.92.0/24,245,1240,31,49160,1243515.6184489195,-40960.6188313505,1121118.1957385617
49.230.58.0/24,253,1240,33,64301,3375316.1065294903,31136.1022507413,3050336.7841161332
113.185.52.0/24,256,1224,31,40348,4923940.8851455428,-15581.1803657669,4439706.0416064177
171.253.235.0/24,242,1218,26,36211,4524302.3654695634,45759.9973220093,4033007.3538418501
223.24.93.0/24,247,1217,29,43465,1233616.9813986707,-35482.7636613339,1122472.3803453061
223.24.189.0/24,246,1212,33,48983,1380373.3396861969,-10975.6462800486,1249852.3260640382
223.24.60.0/24,247,1207,32,56286,1762180.7916456281,-37824.3711716312,1594377.5424768171
27.70.187.0/24,255,1190,26,34197,5492139.2049615230,49384.3884332951,4964639.1724773816
223.24.190.0/24,247,1185,32,44412,1404205.7564073753,-19742.0781926245,1267261.4893002889
113.185.108.0/24,255,1184,29,77112,3576117.0488838992,-29393.9981431364,3211477.4509978778
125.235.122.0/24,256,1182,25,31948,2634572.5070784234,18314.8492286195,2394962.7930826578
223.24.62.0/24,248,1175,31,54736,1675490.6578580107,-42750.3880894396,1444674.2779397858
171.250.165.0/24,253,1166,23,141706,11801118.3133468641,-294752.0110073527,10672296.9342031426
125.235.121.0/24,255,1163,23,26791,2451820.8336952027,-19178.2768629059,2213842.3955270249
49.237.99.0/24,252,1153,33,48568,3441571.4464347704,-74436.5751565620,3099453.7016364208
125.235.125.0/24,256,1150,28,29455,2293218.2037319100,-56979.6388109400,2061059.4624716528
27.70.186.0/24,256,1150,26,33113,5269516.2880515029,-431588.8407850266,4776149.6909864215
27.66.20.0/24,255,1148,24,31736,2338139.5270536803,-9396.1136471652,2119679.8987645141
49.237.85.0/24,254,1143,35,42949,2209051.8602638119,-126789.3619184001,1947587.0000623527
125.235.124.0/24,256,1142,25,26087,2333450.7315047574,-43726.0204756744,2114326.3768637195
49.237.94.0/24,251,1138,30,47884,2573397.4061431731,-112875.3353255660,2360893.7106497085
49.237.81.0/24,256,1137,31,43375,1510794.3156451510,-50783.5266639969,1370711.7943340103
113.185.109.0/24,256,1132,30,71794,3663691.0946502138,85227.6093609190,3339226.4771833753
125.235.123.0/24,256,1130,26,28264,3111231.6258565958,-16987.3793297121,2792679.1863952837
27.74.134.0/24,255,1127,26,27637,1935245.8616828529,-34728.5842426627,1756214.7649160480
27.70.184.0/24,254,1127,26,32755,3348862.3712203093,-10325.0304722735,3025619.3108607995
49.237.87.0/24,252,1123,34,39697,1938211.5570489746,50117.0192112035,1728442.2401653286
171.250.164.0/24,255,1118,27,100371,9759998.2593681094,-219172.7268873053,8730650.5797375262
27.74.132.0/24,256,1116,25,29015,2035514.9465316396,-20196.1030802775,1829327.9813344943
49.237.90.0/24,256,1112,30,43089,2474321.5763536196,15621.9325926417,2225632.3601071019
27.74.133.0/24,255,1112,28,29220,3070884.6354815904,-150397.8098645353,2764720.8445735078
27.66.23.0/24,255,1110,25,25667,4086982.3406771134,43220.7070171759,3678510.0805842725
49.237.106.0/24,254,1104,30,38656,2947467.1172442367,-132381.0266275748,2595318.5974339962
223.24.200.0/24,256,1103,29,42365,1719833.5059143260,-41764.9478491644,1512902.9823077124
115.76.55.0/24,239,1101,20,39754,2669326.6287702277,-145707.5851066031,2378245.0631227792
27.74.135.0/24,256,1099,29,31259,1774881.6013284446,-61542.1597358277,1588182.4118976038
49.237.83.0/24,253,1098,32,44231,3341494.4543983538,-369776.8286355688,3033274.4806278877
103.249.23.0/24,192,1096,24,59713,2328590.3672906237,46087.7475277325,2105158.5085264141
49.237.103.0/24,252,1095,35,42651,2937191.0360954342,-33954.9146992170,2657301.4393884822
49.237.82.0/24,254,1095,36,40015,1868513.2492984063,-100944.1042764695,1701215.5914752997
113.185.107.0/24,255,1095,27,71884,3287363.2573062404,-100831.4023433742,2954774.6288522030
49.237.109.0/24,256,1095,33,42816,1507471.5086662451,-48546.4012528581,1329807.7317022929
49.237.111.0/24,253,1093,33,41982,1959786.0743586565,4340.0309642226,1772838.1995308658
113.185.106.0/24,256,1093,27,78199,3184495.9701913502,-7787.7652352639,2877366.4211966159
27.66.22.0/24,254,1091,22,23137,1606066.6189695889,-40169.1034567197,1452079.8100738866
49.237.84.0/24,254,1091,33,41702,3362088.8704542907,-409690.6515051213,2993538.2715437713
27.70.185.0/24,254,1089,24,34876,3098445.5889184677,-140260.6083134126,2800852.5454248670
104.28.158.0/24,30,1088,28,32540,15050154.5325562080,-298938.1329591968,13359811.6681440806
49.237.97.0/24,254,1087,34,40943,3028638.4533226619,133521.4313325256,2773597.0507275628
49.237.92.0/24,255,1086,31,42279,4396332.8088284482,8225.0292977338,4063191.9763785645
49.237.108.0/24,254,1084,31,40526,1822411.3674556591,-94593.1678088445,1638653.3504663404
125.235.120.0/24,254,1082,24,30397,2592444.3767592746,-10007.8669576310,2348156.5266146090
113.185.110.0/24,256,1080,29,63566,2743476.4894660709,-51457.3595801899,2478316.9210480584
125.235.127.0/24,255,1080,23,26163,3161066.8173170690,-272494.1612670033,2835232.0866245268
113.185.111.0/24,256,1079,31,73667,3272934.1261057087,-56644.1446390857,2956081.5252062644
27.66.21.0/24,254,1077,24,23136,2396873.4341568745,-112115.1250886650,2181284.2695310220
49.237.64.0/24,254,1075,32,44067,2080619.1408800354,-45051.6723777386,1875005.4296616188
49.237.32.0/24,250,1072,31,35675,1764765.8657887058,-47843.2773184981,1582516.8871850891
49.237.190.0/24,252,1071,31,42147,1914509.2001924487,-43681.5810936671,1693781.8357363255
49.237.68.0/24,253,1069,34,39592,3088346.9384821694,-131462.8456264966,2756779.9849945037
49.237.76.0/24,254,1068,31,40647,1511168.1836407272,-40972.8678003497,1346979.0543068554
49.237.104.0/24,256,1067,29,41086,2167621.1243610933,24460.7042998664,1890655.3817653976
49.237.95.0/24,254,1067,31,41202,1929502.5817623380,-40735.9106758743,1742145.1106429865
49.237.80.0/24,254,1066,30,43508,4233813.2425186300,234901.6987652102,3572204.4302227961
49.237.89.0/24,252,1065,33,40785,4845080.1555681556,-153017.0130953191,4432980.8852169846
223.24.204.0/24,255,1065,33,39544,2181109.3116555983,132615.6797259951,1945364.8755033479
49.237.100.0/24,250,1064,33,40763,2318779.8148399427,-29288.5590361030,2092178.4604457150
117.2.112.0/24,254,1063,25,29591,4026898.2079944656,9238.0730460833,3685925.1284328822
49.237.86.0/24,255,1063,33,41023,2024563.3964830075,-331015.5618081639,1888483.2746885853
49.230.78.0/24,256,1061,33,58258,2511936.6096292897,-39259.1820281099,2264430.9771972091
49.237.77.0/24,254,1061,34,44852,2233875.5111636062,-99438.1930054052,2016431.4218420114
27.67.153.0/24,254,1061,29,27383,2536431.5156273594,879.4712420740,2295874.1425940630
49.237.110.0/24,253,1059,31,45165,2897223.9241830711,96742.6224712733,2624965.2451332698
223.24.205.0/24,252,1059,33,40855,1723602.3861524374,-29340.4875903701,1536825.2711027620
49.237.91.0/24,256,1058,32,39924,1765725.0194313735,-82577.3460063978,1579182.9939825987
125.235.126.0/24,256,1056,23,26977,1979530.2906082082,21989.1929245033,1798104.5137231075
49.237.93.0/24,253,1055,35,42329,3183340.9739395899,-61260.4183583187,2865369.1155116848
223.24.199.0/24,253,1055,32,36619,1591008.7781481651,-112425.0848908759,1440432.8249513458
49.237.107.0/24,253,1054,32,43849,1989336.3266393258,-64452.9806659637,1821679.2559547244
117.2.115.0/24,254,1052,30,27552,3005655.0001057793,-34341.1080077100,2694188.8444101507
117.2.113.0/24,251,1047,26,29831,2430082.4019776821,16553.3437600054,2176643.6946942871
49.237.69.0/24,251,1047,35,42377,2828121.5040953991,142176.0614758501,2597349.4802185485
49.237.184.0/24,254,1047,31,41092,1953071.6979913752,-39242.4683498415,1770333.2922715468
49.237.180.0/24,255,1046,30,41871,3012868.2528813560,-74460.6848422050,2698983.9650057106
117.2.114.0/24,254,1045,30,30424,2630934.8880394505,-110007.2389709908,2382533.1998268891
49.237.71.0/24,254,1044,34,38546,1527303.6063659050,-88432.9471144713,1385891.5803112649
49.237.177.0/24,251,1044,34,42237,4446843.1924739647,138473.2090038392,3963882.6641003315
49.237.182.0/24,253,1042,35,35468,1946643.4888469869,-56533.2611424881,1713498.9143712654
49.237.39.0/24,254,1041,26,38929,2842260.9029064653,-86126.9417809357,2614141.9874413358
223.24.193.0/24,254,1041,36,39888,2481635.0077090365,60189.6562566292,2251092.3065574471
49.237.65.0/24,252,1040,34,42257,1781469.4486686128,-24443.6568190191,1581512.6707219421
116.98.218.0/24,252,1039,24,35676,3380915.9651903316,-62035.8781015322,3033916.7878339278
49.237.36.0/24,252,1039,32,36427,6633082.8109458741,-176434.9232597873,5941110.1398960806
49.237.105.0/24,256,1039,34,39824,7508634.8711887517,-268653.2341887319,6791540.5014210001
49.237.72.0/24,254,1038,34,38628,2608995.3375332182,-109076.4306954650,2338698.4677546932
49.237.98.0/24,255,1037,35,37469,2031452.6386315897,-24491.8459862584,1825808.7752065006
223.24.197.0/24,255,1037,31,36224,1390973.3729451483,-114724.2599496676,1259289.5223739084
49.237.101.0/24,254,1037,32,39590,2014961.7674879585,-41684.0650162162,1860506.5048927387
27.67.155.0/24,253,1037,28,25465,3352371.4218475714,-18260.4866614187,3061063.4054067214
49.237.188.0/24,253,1036,32,34998,2878129.6681793827,36364.2953617085,2610825.8642800239
49.237.74.0/24,253,1036,33,35244,1658069.9768500864,-22044.4584845506,1496925.4463839309
223.24.192.0/24,254,1036,38,40048,1694986.4215851901,4349.3513748559,1536331.9292907347
49.237.176.0/24,252,1035,29,41072,1590127.9321048773,-14690.5353451171,1432391.5801928823
171.246.10.0/24,256,1034,27,28620,3742231.3080600384,-14343.4440229796,3362314.1640052192
49.230.94.0/24,254,1033,31,57705,2178916.5314739343,-47065.2523935197,1981479.2723803510
49.237.187.0/24,254,1033,27,38540,1975807.0431375333,665.7202123053,1805759.8025527827
49.237.191.0/24,244,1032,30,38846,2412113.1798812152,-90348.2026066511,2140047.0408298112
49.237.44.0/24,251,1031,35,44041,2215919.0408599748,48922.7035931591,1987353.3720157046
27.67.152.0/24,252,1031,24,29601,3321002.1384706435,205942.3433342543,2979396.1040729542
223.24.201.0/24,253,1031,32,35997,1487030.4422986559,-4815.0231940417,1340350.5347625999
223.24.202.0/24,254,1031,32,38194,1737771.8346018588,-58679.6634332165,1579348.0912523414
49.230.76.0/24,256,1031,30,63478,3108875.6303912864,36341.6886097138,2814307.7135171376
49.237.186.0/24,255,1029,34,36986,1977119.8538855806,-1883.8300883385,1775796.5595510778
49.237.88.0/24,252,1027,32,37043,1568493.6089950278,-50835.4984866234,1413002.3857070133
113.185.104.0/24,256,1026,24,76544,3549405.7866822196,-31302.6413925329,3210664.9794533528
49.237.202.0/24,255,1026,32,37519,1816571.0041398098,-88652.8195396381,1625660.5243042751
223.24.207.0/24,254,1025,28,36286,1771320.5210005887,-40566.7642848132,1605312.8781225391
223.24.195.0/24,253,1025,34,39871,2192746.4159231276,34737.0344799494,1963284.1148723772
49.237.66.0/24,251,1023,32,40580,1719488.4928989326,-7126.8138722783,1525849.6572168587
49.237.96.0/24,255,1023,33,39720,5212357.3962027125,115131.1382613877,4716317.5525253943
49.237.70.0/24,254,1023,36,36093,1841401.7256509518,-42321.5402897362,1659158.3784567308
