subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
59.8.208.0/24,2,5,2,4224,730662.5611254329,11361.9629568463,672646.8821483375
49.49.20.0/24,4,5,4,30,1917.1473024382,-1444.1573789231,1913.0027797182
125.24.12.0/24,4,5,4,141,1520.3558432667,-46.6840703662,1387.8082308358
14.189.107.0/24,5,5,4,104,12308.4325027947,-3717.6065980997,10690.7794481347
183.94.24.0/24,4,5,3,30,2214.0000000000,-1144.9000000000,2117.0000000000
14.166.60.0/24,5,5,4,407,7952.9242588370,31.5394528260,7157.8865862341
222.79.6.0/24,3,5,2,613,147317.0000000000,2724.9500000000,132752.0000000000
58.136.255.0/24,5,5,3,50,877.8598882900,1320.4746990949,814.6889538320
171.229.124.0/24,4,5,3,33,741.4017735359,65.3896272222,641.0628353074
21.176.199.0/24,5,5,4,73,3894.1144700021,-729.7110910986,3849.4878289352
171.233.19.0/24,4,5,4,119,2199.1148688182,154.1889434907,1975.0381794698
14.178.152.0/24,5,5,2,28,284.5535477789,-62.4680062874,284.5535477789
21.19.184.0/24,4,5,4,72,13873.7785401163,-5451.0649983737,13515.5709458922
125.25.202.0/24,18,5,5,1316,14105.0663631561,-245.4900217319,12871.9887877043
118.172.242.0/24,4,5,5,195,1708.1266112672,-186.0700094356,1566.1436399437
21.100.134.0/24,4,5,3,63,10130.0065153889,-1024.0563683379,8017.1958766040
113.183.74.0/24,4,5,4,132,4583.8440669641,503.7057311736,4306.2248463737
42.76.12.0/24,5,5,4,66,15417.6431004046,3018.2463891928,14425.5697119208
171.109.212.0/24,6,5,3,351,21664.0000000000,10271.8500000000,20565.0000000000
21.251.222.0/24,4,5,3,132,1652.0234760063,-39.6149235719,1625.2793198614
183.94.78.0/24,5,5,3,94,9794.0000000000,-1035.6500000000,8829.0000000000
42.114.189.0/24,5,5,3,27,1072.9103338436,-67.7810700724,1036.5863236729
123.24.227.0/24,4,5,5,403,21311.1084864822,-2635.2287779285,19815.8755069741
182.253.52.0/24,7,5,3,349,19859.5052938609,-1642.6063586900,17589.7310858351
171.222.189.0/24,5,5,4,35,1465.0000000000,298.0000000000,1435.0000000000
113.163.225.0/24,5,5,3,1172,22877.2258185123,153.3316455488,20791.3066189989
117.7.236.0/24,2,5,4,168,21684.4104705733,-822.1143992152,19901.9646256775
218.12.14.0/24,7,5,3,68,9015.0000000000,-2370.5000000000,8515.0000000000
21.199.49.0/24,5,5,3,112,6539.5740987413,1071.7660229008,5930.8595168427
183.80.83.0/24,4,5,4,76,11818.6657021020,2758.8513032207,9560.6657012245
14.234.11.0/24,5,5,1,33,1005.5618441308,-164.2296374230,887.0401974639
182.53.82.0/24,6,5,4,394,40939.0208986225,676.2935766786,38274.2102601492
123.25.148.0/24,5,5,1,39,3917.1730951159,-1231.4672943443,3865.2816520149
223.153.61.0/24,5,5,4,89,19129.0000000000,1003.9500000000,17759.0000000000
14.230.192.0/24,4,5,2,70,2955.9507906355,-840.9920512726,2457.5216284121
123.18.226.0/24,4,5,3,169,10276.8136294976,24.9644810536,8763.3716451783
14.237.190.0/24,3,5,4,71,647.8768581719,55.6969128412,565.6843736471
171.253.53.0/24,4,5,3,75,5353.5030603167,-2176.2932965049,3564.8377620906
