table_id,n_rounds,mean_sec,p50,p90,p99
8,283332,26.991508195332685,26.0,33.0,40.0
7,282377,27.125973432680425,26.396751403808594,34.0,40.0
2,281542,27.290532140852875,27.0,34.0,40.0
5,281243,27.266765750614237,27.0,34.0,40.0
3,278997,27.543303333010748,27.0,34.0,41.0
1,277868,27.76127513783523,27.0,35.0,41.0
6,274030,28.17491515527497,27.165149688720703,35.0,42.0
513,235064,36.21298029472825,35.0,43.0,58.0
514,234578,36.307633281893445,35.0,44.0,60.0
517,233924,36.373202407619566,35.0,44.0,60.710140228271484
515,233719,36.43891168454426,35.0,44.0,61.0
512,232969,36.55129652443029,35.0,44.0,59.0
516,229967,37.216909382650556,36.0,45.0,62.0
518,229786,37.27105219639142,36.0,46.0,66.0
511,226315,37.561717075757244,36.0,46.0,65.0
113,207338,40.758100299993245,40.0,49.0,57.0
116,207012,40.73600081154716,40.0,49.0,57.0
115,206197,41.12850817422174,41.0,49.0,57.0
112,204712,41.31011372073938,41.0,50.0,58.0
35,203321,41.273936287938774,41.0,49.0,55.0
31,201476,41.65249955329667,41.0,50.0,56.0
33,201168,41.73201503221188,41.0,50.0,56.0
36,199522,42.07056364711661,42.0,50.0,57.0
32,199409,42.1459412564127,42.0,51.0,57.0
37,120853,74.08399460501602,74.0,92.0,103.0
902,75915,52.9166567871962,52.0,61.0,75.0
910,75887,52.5006654631228,51.0,61.0,75.0
908,75810,52.537752275425404,51.0,61.0,77.0
909,75740,52.698706099815155,51.0,61.0,79.0
906,75737,53.10267108546681,52.0,62.0,76.158203125
901,75543,53.36773757992137,52.0,62.0,76.0
905,75313,53.51575425225393,52.0,62.0,79.0
903,74999,53.500886678489046,52.0,62.0,79.0
911,74923,53.30670154692151,52.0,62.0,81.0
912,74563,53.527983047892384,52.0,62.0,84.0
913,69821,52.70420074189714,51.0,61.0,77.0
661,69066,51.88942460834564,48.0,62.0,74.0
662,69002,51.80433900466653,49.0,62.0,73.0
907,68947,54.86438858833597,52.0,63.0,97.0
666,68866,51.6787819824006,48.0,62.0,73.0
