Field,Type,Null,Key,Default,Extra
__source_pk,varchar(64),NO,true,,
dt,date,NO,true,,
age001,varchar(65533),YES,false,,
age002,varchar(65533),YES,false,,
age003,varchar(65533),YES,false,,
age004,varchar(65533),YES,false,,
age005,varchar(65533),YES,false,,
age006,varchar(65533),YES,false,,
age007,varchar(65533),YES,false,,
age008,varchar(65533),YES,false,,
age009,varchar(65533),YES,false,,
age010,varchar(65533),YES,false,,
age011,varchar(65533),YES,false,,
age012,varchar(65533),YES,false,,
age013,varchar(1048576),YES,false,,
age014,varchar(65533),YES,false,,
age015,varchar(65533),YES,false,,
age016,varchar(65533),YES,false,,
age017,varchar(65533),YES,false,,
age018,varchar(65533),YES,false,,
age019,varchar(65533),YES,false,,
age020,varchar(65533),YES,false,,
age021,varchar(65533),YES,false,,
age022,varchar(65533),YES,false,,
age023,varchar(65533),YES,false,,
age024,varchar(65533),YES,false,,
credit,varchar(65533),YES,false,,
cash,varchar(65533),YES,false,,
type,varchar(65533),YES,false,,
currency,varchar(65533),YES,false,,
tip,varchar(65533),YES,false,,
red,varchar(65533),YES,false,,
prefix_add,varchar(65533),YES,false,,
prefix_acc,varchar(65533),YES,false,,
receipt_acc,varchar(65533),YES,false,,
notification,varchar(65533),YES,false,,
sacc,varchar(65533),YES,false,,
opengame,varchar(65533),YES,false,,
site,varchar(65533),YES,false,,
membermax,varchar(65533),YES,false,,
profitmax,varchar(65533),YES,false,,
promotecode,varchar(65533),YES,false,,
kickperiod,varchar(65533),YES,false,,
identity,varchar(65533),YES,false,,
chkKey,varchar(65533),YES,false,,
chkLock,varchar(65533),YES,false,,
last_chpsw,varchar(65533),YES,false,,
source_db,varchar(64),YES,false,,
source_table,varchar(128),YES,false,,
ods_table_name,varchar(256),YES,false,,
sync_time,datetime,YES,false,,
