Field,Type,Null,Key,Default,Extra
__source_pk,varchar(64),NO,true,,
dt,date,NO,true,,
mem001,varchar(65533),YES,false,,
mem002,varchar(65533),YES,false,,
mem003,varchar(65533),YES,false,,
mem004,varchar(65533),YES,false,,
mem005,varchar(65533),YES,false,,
mem006,varchar(65533),YES,false,,
mem007,varchar(65533),YES,false,,
mem008,varchar(65533),YES,false,,
mem009,varchar(65533),YES,false,,
mem010,varchar(65533),YES,false,,
mem011,varchar(65533),YES,false,,
mem012,varchar(65533),YES,false,,
mem013,varchar(65533),YES,false,,
mem014,varchar(65533),YES,false,,
mem015,varchar(65533),YES,false,,
mem016,varchar(65533),YES,false,,
mem017,varchar(65533),YES,false,,
mem018,varchar(65533),YES,false,,
mem019,varchar(65533),YES,false,,
mem020,varchar(65533),YES,false,,
mem021,varchar(65533),YES,false,,
mem022,varchar(65533),YES,false,,
mem022a,varchar(65533),YES,false,,
mem023,varchar(65533),YES,false,,
mem024,varchar(65533),YES,false,,
mem026,varchar(65533),YES,false,,
mem028,varchar(65533),YES,false,,
type,varchar(65533),YES,false,,
currency,varchar(65533),YES,false,,
cash,varchar(65533),YES,false,,
money,varchar(65533),YES,false,,
lockmoney,varchar(65533),YES,false,,
head,varchar(65533),YES,false,,
chips,varchar(65533),YES,false,,
follow1,varchar(65533),YES,false,,
follow2,varchar(65533),YES,false,,
tip,varchar(65533),YES,false,,
red,varchar(65533),YES,false,,
wallet,varchar(65533),YES,false,,
opengame,varchar(65533),YES,false,,
site,varchar(65533),YES,false,,
kickperiod,varchar(65533),YES,false,,
identity,varchar(65533),YES,false,,
singlebetprompt,varchar(65533),YES,false,,
conwinprompt,varchar(65533),YES,false,,
winlossprompt,varchar(65533),YES,false,,
onlineprompt,varchar(65533),YES,false,,
source_db,varchar(64),YES,false,,
source_table,varchar(128),YES,false,,
ods_table_name,varchar(256),YES,false,,
sync_time,datetime,YES,false,,
