Field,Type,Null,Key,Default,Extra
__source_pk,varchar(64),NO,true,,
dt,date,NO,true,,
bet001,varchar(65533),YES,false,,
bet002,varchar(65533),YES,false,,
bet003,varchar(65533),YES,false,,
bet004,varchar(65533),YES,false,,
bet005,varchar(65533),YES,false,,
bet006,varchar(65533),YES,false,,
bet007,varchar(65533),YES,false,,
bet008,varchar(65533),YES,false,,
bet009,varchar(65533),YES,false,,
bet010,varchar(65533),YES,false,,
bet011,varchar(65533),YES,false,,
bet012,varchar(65533),YES,false,,
bet013,varchar(65533),YES,false,,
bet014,varchar(65533),YES,false,,
bet015,varchar(65533),YES,false,,
bet016,varchar(65533),YES,false,,
bet017,varchar(65533),YES,false,,
bet018,varchar(65533),YES,false,,
bet019,varchar(65533),YES,false,,
bet020,varchar(65533),YES,false,,
bet021,varchar(65533),YES,false,,
bet022,varchar(65533),YES,false,,
bet023,varchar(65533),YES,false,,
bet024,varchar(65533),YES,false,,
bet025,varchar(65533),YES,false,,
bet026,varchar(65533),YES,false,,
bet027,varchar(65533),YES,false,,
bet028,varchar(65533),YES,false,,
bet029,varchar(65533),YES,false,,
bet030,varchar(65533),YES,false,,
bet031,varchar(65533),YES,false,,
bet032,varchar(65533),YES,false,,
bet033,varchar(65533),YES,false,,
bet034,varchar(65533),YES,false,,
bet035,varchar(65533),YES,false,,
bet036,varchar(65533),YES,false,,
bet037,varchar(65533),YES,false,,
bet038,varchar(65533),YES,false,,
bet039,varchar(65533),YES,false,,
bet040,varchar(65533),YES,false,,
bet041,varchar(65533),YES,false,,
bet042,varchar(65533),YES,false,,
bet043,varchar(65533),YES,false,,
bet044,varchar(65533),YES,false,,
bet045,varchar(65533),YES,false,,
bet046,varchar(65533),YES,false,,
bet047,varchar(65533),YES,false,,
bet048,varchar(65533),YES,false,,
bet049,varchar(65533),YES,false,,
bet050,varchar(65533),YES,false,,
bet051,varchar(65533),YES,false,,
bet052,varchar(65533),YES,false,,
bet053,varchar(65533),YES,false,,
bet054,varchar(65533),YES,false,,
source_db,varchar(64),YES,false,,
source_table,varchar(128),YES,false,,
ods_table_name,varchar(256),YES,false,,
sync_time,datetime,YES,false,,
